,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol
904,0.59,0.06,6.0,0.06,11.0,18.0,3.41,0.59,10.8
1366,0.74,0.08,1.7,0.094,10.0,45.0,3.24,0.5,9.8
975,0.41,0.3,2.1,0.083,35.0,72.0,3.44,0.52,9.4
670,0.4,0.24,2.5,0.083,30.0,45.0,3.26,0.58,10.0
1112,0.33,0.41,1.5,0.056,6.0,35.0,3.29,0.71,11.0
533,0.27,0.24,2.1,0.07200000000000001,15.0,33.0,3.22,0.66,12.8
1419,0.64,0.21,2.2,0.077,32.0,133.0,3.27,0.45,9.9
471,0.54,0.42,2.4,0.081,25.0,52.0,3.2,0.71,11.4
960,0.47,0.27,1.9,0.058,18.0,38.0,3.16,0.85,11.1
1528,0.29,0.49,2.2,0.096,21.0,59.0,3.31,0.67,10.1
1171,0.59,0.0,2.2,0.078,26.0,44.0,3.42,0.68,10.8
1034,0.745,0.18,2.5,0.077,15.0,48.0,3.2,0.47,9.7
124,0.5,0.17,1.6,0.08199999999999999,21.0,102.0,3.39,0.48,9.5
716,0.43,0.36,2.3,0.075,10.0,48.0,3.34,0.46,9.4
855,0.735,0.02,2.5,0.071,10.0,14.0,3.51,0.71,11.7
1275,0.715,0.22,2.3,0.075,13.0,81.0,3.24,0.54,9.5
573,0.59,0.49,2.1,0.07,14.0,47.0,3.3,0.56,9.6
797,0.37,0.44,1.6,0.038,21.0,42.0,3.24,0.81,10.8
1403,0.33,0.33,1.7,0.061,3.0,13.0,3.23,1.1,10.0
1388,0.64,0.31,6.1,0.083,7.0,49.0,3.35,0.68,10.3
1438,0.59,0.0,1.7,0.052000000000000005,3.0,8.0,3.41,0.47,10.3
1106,0.23,0.42,1.9,0.069,9.0,17.0,3.21,0.54,12.3
918,0.36,0.32,2.2,0.081,32.0,79.0,3.3,0.72,11.0
168,0.63,0.07,2.1,0.08900000000000001,11.0,44.0,3.47,0.55,10.4
998,0.84,0.34,1.4,0.05,4.0,10.0,3.12,0.48,9.1
1552,0.68,0.01,3.7,0.103,32.0,54.0,3.51,0.66,11.3
597,0.58,0.58,1.9,0.071,5.0,18.0,3.09,0.63,10.0
275,0.545,0.06,4.0,0.087,27.0,61.0,3.36,0.67,10.7
334,0.65,0.01,2.5,0.078,17.0,38.0,3.34,0.74,11.7
1297,0.53,0.14,2.1,0.064,15.0,29.0,3.35,0.61,12.1
282,0.52,0.12,3.0,0.067,12.0,53.0,3.36,0.57,9.1
644,0.54,0.45,2.3,0.071,16.0,40.0,3.39,0.62,9.4
1360,0.54,0.31,2.3,0.112,11.0,38.0,3.24,0.56,10.9
643,0.59,0.44,2.3,0.071,21.0,68.0,3.46,0.63,9.5
18,0.59,0.08,4.4,0.086,6.0,29.0,3.38,0.5,9.0
1276,0.4,0.4,6.3,0.05,3.0,10.0,3.28,0.56,12.0
958,0.57,0.12,2.3,0.12,25.0,36.0,3.47,0.71,11.3
