,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol
389,0.38,0.31,2.5,0.096,16.0,49.0,3.19,0.7,10.0
278,0.32,0.45,6.4,0.073,5.0,13.0,3.23,0.82,12.6
563,0.29,0.49,2.7,0.092,25.0,60.0,3.31,0.61,10.1
663,0.28,0.46,1.8,0.05,5.0,13.0,3.04,0.79,10.2
1441,0.785,0.19,5.2,0.094,19.0,98.0,3.16,0.52,9.56666666666667
487,0.645,0.36,1.8,0.053,5.0,14.0,3.17,0.42,10.0
435,0.39,0.63,2.3,0.091,6.0,18.0,3.16,0.49,9.5
804,0.52,0.22,2.7,0.084,4.0,18.0,3.26,0.57,9.9
518,0.21,0.49,2.8,0.08800000000000001,11.0,32.0,3.22,0.68,11.7
1046,0.78,0.0,1.7,0.076,33.0,45.0,3.31,0.62,10.7
601,0.46,0.52,2.2,0.071,12.0,35.0,3.1,0.56,9.0
78,0.75,0.12,2.0,0.086,12.0,80.0,3.38,0.52,10.1
314,0.36,0.29,2.6,0.087,26.0,72.0,3.39,0.68,11.0
1160,0.36,0.57,2.3,0.087,6.0,20.0,3.14,0.72,11.1
1545,0.63,0.33,1.8,0.059,16.0,28.0,3.36,0.64,10.1
1567,0.695,0.13,2.0,0.076,12.0,20.0,3.29,0.54,10.1
298,0.65,0.02,2.3,0.094,5.0,31.0,3.67,0.8,9.7
890,0.34,0.24,2.0,0.071,30.0,52.0,3.44,0.58,10.1
260,0.33,0.23,1.7,0.077,18.0,45.0,3.29,0.65,9.3
1013,0.71,0.0,1.6,0.092,22.0,31.0,3.38,0.58,10.0
32,0.655,0.12,2.3,0.083,15.0,113.0,3.17,0.66,9.8
1060,0.23,0.57,1.8,0.07400000000000001,3.0,8.0,3.14,0.7,9.9
195,0.59,0.33,2.0,0.07400000000000001,24.0,120.0,3.25,0.54,9.4
807,0.28,0.4,2.4,0.052000000000000005,4.0,10.0,3.33,0.7,12.8
1067,0.31,0.53,2.2,0.06,3.0,10.0,3.02,0.83,10.9
1117,0.69,0.07,2.5,0.091,15.0,21.0,3.38,0.6,11.3
1516,0.32,0.25,2.3,0.071,23.0,58.0,3.42,0.97,10.6
519,0.365,0.49,2.5,0.08800000000000001,39.0,106.0,3.36,0.78,11.0
1050,0.43,0.17,1.8,0.08199999999999999,27.0,51.0,3.49,0.64,10.4
123,0.71,0.0,2.6,0.08,11.0,34.0,3.44,0.53,9.5
477,0.24,0.49,1.8,0.075,6.0,20.0,3.18,1.06,11.0
1304,0.79,0.21,2.3,0.087,21.0,68.0,3.12,0.44,9.2
759,0.42,0.21,2.5,0.092,33.0,88.0,3.19,0.52,9.2
625,0.69,0.0,5.6,0.124,21.0,58.0,3.46,0.72,10.2
974,0.33,0.41,5.9,0.073,7.0,13.0,3.3,0.62,12.1
1394,0.57,0.14,3.9,0.07,27.0,73.0,3.32,0.48,9.2
1428,0.64,0.0,1.9,0.07200000000000001,27.0,55.0,3.31,0.63,11.0
224,0.635,0.36,2.0,0.08900000000000001,15.0,55.0,3.31,0.57,10.4
377,0.27,0.53,2.4,0.07400000000000001,6.0,18.0,3.2,1.13,12.0
192,0.63,0.12,3.8,0.099,16.0,126.0,3.28,0.61,9.5
1472,0.35,0.6,2.6,0.073,23.0,44.0,3.38,0.79,11.1
1209,0.39,0.43,2.0,0.071,14.0,24.0,3.45,0.87,11.2
1121,0.5,0.0,1.8,0.062,21.0,28.0,3.44,0.55,12.3
1362,0.475,0.4,1.4,0.091,6.0,28.0,3.07,0.65,10.0333333333333
411,0.45,0.35,2.4,0.08,23.0,78.0,3.38,0.62,9.5
793,0.6,0.0,2.6,0.055,7.0,13.0,3.38,0.56,10.8
577,0.44,0.49,2.8,0.083,18.0,111.0,3.3,0.6,9.5
1222,0.53,0.22,2.2,0.078,33.0,89.0,3.26,0.46,9.6
1230,0.18,0.34,2.7,0.066,15.0,58.0,3.37,0.78,11.8
108,0.33,0.53,2.5,0.091,18.0,80.0,3.37,0.8,9.6
993,0.34,0.28,2.0,0.08199999999999999,31.0,68.0,3.45,0.48,9.4
34,0.32,0.25,1.8,0.103,13.0,50.0,3.38,0.55,9.2
1129,0.43,0.35,3.3,0.092,24.0,70.0,3.21,0.69,10.5
677,0.8,0.11,2.3,0.084,12.0,31.0,3.4,0.48,9.9
704,0.765,0.04,1.6,0.078,4.0,14.0,3.29,0.54,9.7
819,0.66,0.15,3.2,0.097,9.0,59.0,3.28,0.54,9.6
949,0.12,0.45,1.8,0.075,10.0,21.0,3.41,0.76,11.9
160,0.95,0.03,2.0,0.09,7.0,20.0,3.2,0.56,9.6
908,0.52,0.13,2.4,0.078,34.0,61.0,3.43,0.59,10.8
1379,0.57,0.02,2.6,0.077,11.0,35.0,3.36,0.62,10.8
1324,0.46,0.24,1.7,0.077,18.0,34.0,3.39,0.6,10.6
991,0.34,0.28,2.0,0.08199999999999999,31.0,68.0,3.45,0.48,9.4
1310,0.61,0.26,1.9,0.073,24.0,88.0,3.3,0.53,9.8
1308,0.69,0.32,2.5,0.08800000000000001,22.0,91.0,3.29,0.62,10.1
1542,0.855,0.02,1.9,0.064,29.0,38.0,3.3,0.56,10.75
1564,0.695,0.13,2.0,0.076,12.0,20.0,3.29,0.54,10.1
1345,0.44,0.24,2.3,0.063,10.0,28.0,3.25,0.53,10.2
1411,0.47,0.4,2.4,0.071,8.0,19.0,3.56,0.73,10.6
424,0.96,0.2,2.0,0.047,15.0,60.0,3.36,0.44,10.9
527,0.38,0.49,2.5,0.097,33.0,85.0,3.39,0.77,11.4
27,0.43,0.21,1.6,0.106,10.0,37.0,3.17,0.91,9.5
10,0.58,0.08,1.8,0.097,15.0,65.0,3.28,0.54,9.2
570,0.35,0.49,3.3,0.07,10.0,37.0,3.32,0.91,11.0
98,0.9,0.06,2.5,0.079,5.0,10.0,3.39,0.56,9.8
1307,0.68,0.09,3.9,0.068,15.0,29.0,3.41,0.52,11.1
1138,0.41,0.15,3.7,0.104,29.0,94.0,3.14,0.58,9.1
767,0.6,0.32,2.7,0.103,13.0,98.0,3.45,0.62,9.5
798,0.5,0.34,3.6,0.08199999999999999,5.0,14.0,3.29,0.52,10.7
485,0.67,0.39,1.9,0.054000000000000006,6.0,17.0,3.17,0.47,10.0
1094,0.725,0.09,5.5,0.117,9.0,17.0,3.35,0.49,10.8
783,0.46,0.14,2.4,0.114,9.0,37.0,3.66,0.65,9.8
117,0.56,0.12,2.0,0.08199999999999999,7.0,28.0,3.37,0.5,9.4
438,0.41,0.55,3.2,0.076,22.0,54.0,3.15,0.89,9.9
1471,0.7,0.08,3.75,0.067,8.0,16.0,3.43,0.52,12.6
1347,0.655,0.03,1.8,0.078,7.0,12.0,3.34,0.39,9.5
408,0.34,0.58,3.7,0.174,6.0,16.0,3.19,0.7,11.3
551,0.43,0.24,2.8,0.092,14.0,45.0,3.19,0.73,10.0
1451,0.32,0.44,2.7,0.104,8.0,17.0,3.33,0.78,11.0
1530,0.44,0.09,2.2,0.063,9.0,18.0,3.42,0.69,11.3
382,0.26,0.42,2.0,0.08,11.0,27.0,3.21,0.8,9.4
319,0.77,0.12,2.9,0.08199999999999999,30.0,74.0,3.3,0.64,10.4
393,0.665,0.61,2.0,0.112,13.0,95.0,3.16,0.54,9.1
541,0.46,0.49,6.3,0.064,5.0,17.0,3.21,0.73,11.0
256,0.34,0.37,2.2,0.075,5.0,13.0,3.22,0.62,9.2
1158,0.41,0.43,2.8,0.076,22.0,54.0,3.42,1.16,10.6
788,0.56,0.24,2.2,0.079,19.0,58.0,3.18,0.56,10.1
775,1.0,0.0,3.0,0.102,7.0,16.0,3.43,0.46,10.0
1354,0.58,0.03,2.3,0.077,7.0,28.0,3.35,0.52,10.0
148,0.49,0.1,2.3,0.07400000000000001,12.0,30.0,3.42,0.58,10.2
351,0.795,0.0,2.6,0.096,11.0,26.0,3.35,0.83,9.4
1149,0.35,0.47,2.0,0.061,6.0,11.0,3.23,0.52,12.0
1137,0.52,0.45,2.0,0.08,6.0,13.0,3.22,0.76,11.4
516,0.6,0.49,4.3,0.1,5.0,14.0,3.25,0.74,11.9
576,0.5,0.24,2.3,0.103,6.0,14.0,3.34,0.52,10.0
1027,0.795,0.0,2.2,0.065,28.0,52.0,3.49,0.52,11.6
939,0.46,0.17,1.6,0.073,7.0,11.0,3.61,0.54,11.4
