,classification
904,1
1366,0
975,0
670,0
1112,1
533,1
1419,0
471,1
960,1
1528,1
1171,1
1034,1
124,0
716,0
855,1
1275,1
573,0
797,1
1403,1
1388,0
1438,0
1106,1
918,1
168,1
998,1
1552,1
597,1
275,1
334,1
1297,1
282,0
644,0
1360,0
643,0
18,0
1276,0
958,1
1553,0
1335,1
447,0
679,0
749,1
363,0
466,1
343,1
259,1
800,0
26,0
834,0
482,0
580,0
170,0
1468,1
1179,1
1591,1
1035,1
806,1
562,0
1248,1
698,0
1109,1
305,1
725,0
602,0
1193,0
329,0
805,1
1421,0
853,1
1239,0
1500,0
954,1
1390,1
1350,0
935,1
1083,1
604,1
1256,0
333,0
1448,0
159,1
900,0
208,0
1415,0
1371,1
269,1
696,1
1305,0
897,1
1181,0
816,1
845,0
326,1
133,1
1364,1
1207,0
1218,1
4,0
1168,1
726,1
1185,1
24,1
578,0
959,0
685,0
773,1
1597,0
1147,1
1153,1
1140,1
245,1
770,1
627,0
852,0
461,0
1501,0
693,0
421,1
622,0
521,0
66,0
1188,0
736,0
559,1
603,1
784,0
761,0
668,0
1548,0
1064,1
152,0
976,0
810,0
266,0
1012,0
879,0
963,1
1284,0
84,1
888,1
839,0
920,0
526,0
1038,1
1122,1
213,0
348,1
313,0
211,1
579,1
1473,0
1486,0
727,0
300,1
988,0
1389,0
293,1
801,0
271,1
907,1
831,1
1554,1
1021,1
547,1
1457,0
1233,0
912,1
610,0
753,0
1180,1
1031,1
392,0
678,0
828,1
237,1
1028,1
1214,1
362,0
983,1
1241,0
20,1
717,0
540,0
48,0
272,0
1272,0
896,1
1536,1
252,0
1580,1
475,0
1521,0
60,0
569,1
1387,0
303,0
1544,1
728,0
1203,0
1549,1
1584,1
263,0
302,0
529,0
1526,1
1136,1
1032,0
1306,0
423,1
380,1
734,0
1348,0
1480,0
1216,1
992,1
1080,1
1286,1
735,0
1452,1
513,1
882,1
731,0
1426,1
443,1
866,1
1003,1
82,0
869,1
1277,1
1049,1
1317,1
1492,0
1337,0
139,0
655,0
534,1
781,0
564,1
1517,1
599,1
543,1
1097,0
894,1
296,0
626,0
929,1
370,0
1539,0
87,0
689,0
743,0
105,0
115,1
1386,0
216,0
1008,1
1373,0
1000,1
214,1
418,1
750,0
1470,0
1065,1
355,1
1463,1
445,1
458,1
493,1
629,0
203,0
609,1
1089,1
1565,1
1532,1
1211,0
854,1
416,1
1023,1
1164,0
905,0
29,1
826,1
1571,1
832,0
875,1
941,1
180,0
150,1
956,1
1105,0
817,1
1044,1
514,1
850,0
1563,0
1238,0
1541,1
335,1
1499,1
490,1
1540,1
1508,1
873,1
1502,0
366,1
964,1
225,1
1534,1
756,1
402,1
209,1
606,1
947,1
537,1
650,0
102,1
657,1
384,0
1123,1
112,0
323,1
361,1
1423,0
1024,1
1509,0
1595,1
1338,0
675,0
898,1
122,0
426,1
942,1
531,0
1254,0
758,0
965,1
656,0
79,0
143,0
398,1
1490,1
140,0
71,0
230,1
196,0
41,0
703,0
789,0
138,0
1352,0
207,0
1195,1
464,1
212,1
376,1
535,1
1407,1
883,0
1503,1
125,0
1205,1
397,1
284,0
914,1
1196,1
1320,0
605,1
77,1
155,0
172,1
1006,1
1588,1
607,1
1091,1
1019,0
1497,1
1291,1
1430,0
1197,1
548,1
970,1
608,1
1433,1
659,0
1062,1
1576,1
1243,0
957,1
399,0
1144,0
661,0
365,1
1581,0
6,0
1560,0
1485,0
506,1
1148,1
474,1
315,1
249,1
444,1
669,1
1161,1
1363,0
1082,1
1026,1
1134,1
712,0
322,0
113,1
454,0
1227,0
215,0
297,0
1294,1
406,1
1413,0
1274,1
824,0
288,1
227,0
1142,1
766,0
623,1
596,1
790,1
388,1
565,0
1343,1
204,1
1505,0
456,0
1462,1
162,1
321,0
1221,1
782,0
1057,0
1210,1
931,0
462,0
1093,1
1575,1
1469,0
1236,1
481,1
306,0
1378,1
1011,1
972,1
662,1
345,0
1099,0
368,0
635,0
812,0
1424,1
317,1
483,0
1569,1
1445,1
681,1
1355,0
1167,1
1525,0
1264,1
849,0
1005,1
1266,1
1151,1
473,0
1292,1
8,1
880,0
1425,1
585,1
953,1
747,0
1077,0
489,1
73,0
593,0
1446,0
707,0
414,0
1483,0
279,1
251,1
844,1
469,0
457,0
472,1
1450,1
951,1
1349,0
135,0
299,0
1339,1
711,0
1397,0
1402,1
903,1
803,1
1042,1
691,0
1559,0
613,0
762,1
823,0
1029,1
961,0
664,0
1303,0
369,1
1478,0
1014,1
874,1
944,1
1583,0
495,1
1163,0
90,0
621,0
479,1
1162,1
940,1
619,0
1041,1
1208,1
285,0
1342,1
865,0
863,0
871,0
671,0
1380,1
686,0
719,0
902,1
1330,1
1381,0
40,0
809,1
309,1
870,1
248,1
100,1
950,1
1219,1
187,0
630,1
80,0
830,0
878,1
265,1
764,1
1189,0
280,1
841,0
430,1
157,0
371,1
858,1
1416,0
1155,0
611,0
1242,1
968,1
1078,0
994,0
532,0
1115,1
385,1
372,1
1365,0
89,0
1058,1
792,1
1506,1
1090,1
1124,0
1537,1
1417,1
1556,0
618,0
97,0
763,0
1418,0
538,1
720,0
701,1
255,0
1070,1
646,0
1427,0
64,0
1075,1
1359,1
536,0
1459,1
1020,1
876,0
367,0
1519,0
1037,0
893,0
1325,1
1237,1
0,0
1116,1
1223,1
933,0
927,0
846,0
1187,1
1482,0
1104,1
1572,0
1346,0
1015,1
985,1
571,1
739,0
229,0
1314,1
1128,0
264,0
11,0
63,0
915,1
46,0
612,1
980,1
286,1
1351,1
247,0
427,1
1453,0
884,1
304,0
1285,0
1538,0
1280,1
1461,0
937,0
1170,1
943,1
267,1
1009,0
615,0
787,1
1182,1
1,0
119,1
220,1
1252,0
1410,1
1406,1
236,1
1174,1
1281,1
633,0
1215,1
417,0
1141,1
431,0
1400,0
1087,1
44,0
1507,1
386,1
165,0
1278,1
660,1
1533,0
978,1
350,1
1199,1
1315,1
146,0
137,0
955,0
906,0
1245,0
966,1
1514,1
1484,0
1033,1
1449,1
1333,0
785,0
916,0
825,0
7,1
713,0
901,1
851,0
714,0
811,1
1202,1
638,1
51,1
1454,1
478,0
1543,1
1481,0
517,0
332,1
330,1
1515,1
560,0
1255,0
1061,1
429,1
561,0
1262,0
53,0
752,0
186,0
262,0
93,0
1113,1
1550,0
308,1
1551,0
856,1
1465,0
420,1
1072,1
868,1
1135,1
191,1
5,0
76,0
505,1
1437,0
238,1
129,0
156,0
210,1
694,0
1582,0
1577,1
1068,1
687,0
1056,1
1224,1
1447,0
1392,0
981,0
405,1
815,0
928,0
1301,1
167,0
49,0
862,0
1007,1
289,0
234,1
433,0
843,0
617,1
193,0
1169,1
1489,1
1263,0
1436,0
1399,1
1084,1
665,0
1596,1
582,0
1512,1
989,1
1510,1
233,0
476,0
373,0
1176,0
54,1
130,0
99,1
1412,1
1085,0
820,0
741,0
101,1
1555,1
412,0
327,0
748,1
1422,1
1395,1
895,1
318,1
1088,1
971,1
3,1
556,1
860,0
1257,1
1045,1
436,1
1593,1
336,1
61,0
419,0
616,0
549,1
1159,0
542,0
946,1
499,1
590,0
794,1
222,0
814,1
1494,1
658,1
65,0
977,0
791,0
1250,1
1047,0
221,0
141,0
504,1
1063,1
153,0
35,1
1546,0
1258,1
1456,1
987,0
1385,0
581,0
1368,1
497,0
182,0
1054,1
28,0
948,1
434,1
1524,1
984,0
1356,0
667,1
39,0
708,1
641,0
1405,1
290,1
1246,0
1086,1
709,1
632,1
197,1
37,1
1022,0
1298,1
1282,1
185,0
21,0
919,1
969,0
545,0
546,1
887,1
1585,1
310,1
769,0
786,0
864,0
1323,1
1183,0
822,0
1487,0
510,0
359,1
1431,1
254,1
1048,1
718,0
1212,1
892,1
1566,1
50,0
500,1
1327,1
338,1
511,1
75,0
757,0
1311,1
891,0
104,0
331,1
552,1
829,1
121,1
1016,1
995,1
1293,0
387,1
145,0
58,0
721,0
1156,1
645,1
1332,1
441,1
1025,1
523,0
9,0
1495,1
861,1
1414,0
1361,0
924,0
1040,0
166,0
217,0
1002,1
1101,1
1200,1
507,1
1139,1
768,1
1030,1
1561,0
648,1
1001,1
1217,1
1547,0
116,1
1340,1
654,0
1302,1
1444,1
425,1
68,0
52,1
1069,0
253,0
755,1
1344,0
1249,1
342,1
1504,1
699,1
628,1
796,0
1010,1
364,1
307,1
460,1
778,0
257,0
428,0
498,1
572,0
171,1
1150,1
1253,0
312,1
1108,0
779,0
1455,1
1095,0
600,0
410,1
316,0
184,1
179,0
1102,1
1458,0
261,0
1527,1
31,1
1562,0
337,0
1309,0
1498,1
780,1
760,0
620,0
154,0
218,0
744,0
1247,0
176,0
1130,1
1143,1
530,1
1004,0
808,0
231,1
1376,0
742,0
574,1
311,1
1384,0
913,1
1357,1
1594,0
1523,0
558,1
270,1
273,0
1092,1
1587,1
932,1
228,1
592,0
56,0
962,0
1259,1
1073,1
973,0
1146,1
682,0
751,0
1190,1
945,1
1283,1
799,1
1059,1
1204,1
1290,0
673,0
715,1
2,0
1055,1
1125,1
1234,1
1511,0
23,0
320,1
520,1
175,0
1178,0
1573,1
1036,1
239,1
246,0
232,1
503,1
1172,1
847,1
283,1
647,0
190,0
722,0
1103,1
1464,0
653,1
1460,1
1232,0
1198,1
872,0
1076,1
1396,0
1201,1
589,1
1273,0
496,1
833,0
838,1
1326,1
394,0
250,1
1192,1
383,1
1369,0
1522,0
1579,0
357,1
921,1
1531,0
25,0
341,1
352,0
967,0
674,1
508,1
877,1
737,1
1409,1
885,0
745,1
404,0
74,0
72,0
1398,1
575,1
1177,1
848,0
403,1
688,0
149,1
676,1
634,0
827,0
740,1
30,0
,classification
1066,1
119,1
1416,0
372,1
1240,0
1352,0
1426,1
275,1
103,0
1189,0
1308,0
1436,0
1004,0
896,1
51,1
778,0
571,1
113,1
894,1
224,0
913,1
295,0
838,1
903,1
796,0
1247,0
1143,1
576,0
135,0
1451,1
238,1
1227,0
635,0
654,0
661,0
1112,1
180,0
382,1
1365,0
546,1
1083,1
1396,0
1144,0
133,1
118,1
1242,1
1533,0
330,1
11,0
1225,0
1046,1
1022,0
1548,0
737,1
161,0
853,1
1499,1
481,1
978,1
1500,0
141,0
430,1
222,0
377,1
1124,0
1243,0
937,0
897,1
1441,1
863,0
1409,1
218,0
1432,1
1538,0
209,1
1265,1
65,0
841,0
1336,0
763,0
503,1
26,0
1388,0
427,1
397,1
157,0
351,1
1542,1
514,1
847,1
592,0
689,0
1121,1
1045,1
1092,1
504,1
446,0
826,1
1133,1
152,0
283,1
1068,1
1313,1
1291,1
153,0
489,1
1470,0
874,1
1197,1
1013,1
445,1
998,1
421,1
1267,1
1222,1
650,0
319,1
1159,0
558,1
261,0
1020,1
1369,0
1279,1
867,1
1024,1
729,1
605,1
528,1
149,1
1148,1
254,1
675,0
769,0
1362,1
823,0
845,0
1077,0
300,1
59,1
111,0
55,0
1080,1
1215,1
1173,1
611,0
1512,1
791,0
85,0
693,0
1364,1
1314,1
731,0
363,0
1087,1
1122,1
781,0
4,0
284,0
233,0
519,0
883,0
444,1
1055,1
1481,0
862,0
890,0
964,1
1301,1
721,0
585,1
386,1
1527,1
73,0
1461,0
526,0
317,1
461,0
96,0
32,0
1212,1
1428,0
1164,0
565,0
293,1
698,0
357,1
562,0
24,1
981,0
1455,1
827,0
1534,1
974,1
369,1
210,1
1473,0
1139,1
208,0
479,1
1447,0
84,1
229,0
108,1
143,0
490,1
241,1
740,1
1149,1
1104,1
483,0
508,1
593,0
752,0
1529,1
457,0
855,1
570,1
1318,1
493,1
408,1
1304,0
811,1
1581,0
697,1
247,0
365,1
1256,0
1404,1
1591,1
1317,1
1394,0
706,0
739,0
846,0
1342,1
1271,1
816,1
798,1
465,0
160,0
941,1
742,0
1031,1
1594,0
1253,0
405,1
1380,1
1103,1
621,0
1281,1
1014,1
264,0
1185,1
994,0
401,1
476,0
613,0
644,0
912,1
688,0
170,0
299,0
946,1
633,0
819,0
822,0
736,0
87,0
217,0
603,1
321,0
1498,1
1430,0
237,1
1029,1
1089,1
944,1
1224,1
1390,1
956,1
124,0
976,0
638,1
380,1
304,0
549,1
1063,1
1562,0
316,0
597,1
1339,1
