,classification
1075,1
1453,0
108,1
460,1
941,1
342,1
178,0
1040,0
910,1
1248,1
1244,1
1126,1
553,0
1234,1
1037,0
51,1
765,1
1020,1
118,1
1262,0
1163,0
956,1
9,0
1123,1
427,1
1266,1
1068,1
1190,1
1134,1
759,0
850,0
92,0
42,1
1429,0
1232,0
1346,0
774,1
1487,0
1543,1
842,1
1119,0
426,1
944,1
328,1
469,0
620,0
757,0
144,1
124,0
773,1
1219,1
312,1
216,0
809,1
841,0
182,0
519,0
580,0
1094,1
323,1
1085,0
1135,1
266,0
537,1
1076,1
16,1
546,1
114,0
819,0
84,1
682,0
981,0
15,0
1323,1
494,1
912,1
284,0
949,1
805,1
960,1
830,0
480,0
562,0
1208,1
279,1
355,1
363,0
161,0
601,1
236,1
93,0
456,0
384,0
722,0
696,1
1458,0
959,0
425,1
1050,0
1546,0
753,0
936,1
1514,1
920,0
1159,0
1506,1
235,1
1054,1
271,1
1566,1
281,1
179,0
1317,1
868,1
883,0
582,0
518,1
790,1
778,0
1209,1
1350,0
532,0
1265,1
662,1
817,1
356,0
3,1
1160,1
968,1
470,0
309,1
1516,0
1195,1
1237,1
1570,1
1341,1
477,1
207,0
423,1
705,0
228,1
1499,1
1167,1
0,0
1356,0
991,0
1180,1
242,1
992,1
1092,1
152,0
595,0
887,1
1082,1
1343,1
704,0
1225,0
1032,0
61,0
1409,1
390,1
1061,1
1544,1
520,1
1534,1
459,0
205,1
360,0
162,1
296,0
906,0
792,1
826,1
1312,0
706,0
1079,1
401,1
818,0
1568,0
810,0
1434,1
139,0
1372,0
1418,0
479,1
616,0
40,0
1220,1
431,0
689,0
103,0
256,0
738,0
1403,1
808,0
1545,1
881,1
1422,1
1121,1
233,0
1172,1
35,1
219,0
764,1
898,1
394,0
165,0
550,1
154,0
437,1
1001,1
903,1
1221,1
610,0
873,1
1243,0
119,1
1302,1
22,0
244,1
599,1
99,1
32,0
1128,0
1203,0
998,1
911,1
80,0
668,0
728,0
1296,0
476,0
1035,1
222,0
96,0
303,0
721,0
330,1
1386,0
447,0
442,1
155,0
979,0
1034,1
1005,1
1584,1
1091,1
575,1
1301,1
359,1
210,1
908,1
373,0
1000,1
24,1
232,1
803,1
1454,1
1598,1
1069,0
1047,0
1476,0
684,0
1390,1
1417,1
891,0
1106,1
895,1
1289,0
101,1
762,1
522,0
1276,0
1470,0
273,0
1510,1
623,1
1557,1
98,0
31,1
529,0
1459,1
247,0
1168,1
1582,0
955,0
1505,0
1588,1
435,0
64,0
1431,1
229,0
134,1
357,1
1498,1
458,1
740,1
617,1
1551,0
914,1
1496,0
657,1
52,1
452,1
1133,1
1421,0
466,1
395,1
899,0
91,1
534,1
127,0
1026,1
813,0
397,1
548,1
495,1
59,1
563,1
120,0
768,1
1182,1
1260,0
802,1
1273,0
879,0
966,1
1465,0
573,0
1148,1
1313,1
1513,1
996,1
592,0
1531,0
1284,0
1336,0
1170,1
1449,1
1242,1
937,0
639,1
531,0
83,0
807,1
429,1
1268,1
1083,1
742,0
208,0
812,0
1249,1
1015,1
224,0
1406,1
286,1
1455,1
1433,1
428,0
1181,0
174,0
200,1
1427,0
798,1
245,1
930,0
1344,0
350,1
640,0
1432,1
915,1
1309,0
784,0
259,1
724,0
201,0
1517,1
967,0
970,1
629,0
727,0
987,0
641,0
1111,1
541,1
1117,1
521,0
252,0
766,0
714,0
1413,0
70,1
319,1
367,0
643,0
735,0
1311,1
321,0
1494,1
1461,0
392,0
105,0
382,1
658,1
874,1
1492,0
295,0
1542,1
492,1
1114,1
1095,0
990,0
111,0
404,0
1223,1
389,1
18,0
777,1
39,0
65,0
417,0
203,0
613,0
337,0
788,1
1247,0
95,1
928,0
1007,1
1216,1
1107,1
994,0
339,1
1212,1
1480,0
107,0
258,0
1138,0
795,0
364,1
889,0
499,1
511,1
261,0
608,1
1351,1
1394,0
14,0
1304,0
123,0
1263,0
419,0
1017,1
644,0
1520,1
1590,1
1016,1
53,0
1370,0
1264,1
1084,1
1110,1
775,0
1063,1
1096,1
41,0
301,1
329,0
559,1
586,1
1105,0
861,1
1235,0
173,1
283,1
282,0
1567,0
1305,0
885,0
1561,0
1555,1
23,0
672,0
1102,1
288,1
67,0
1224,1
896,1
1484,0
481,1
1226,0
249,1
733,0
799,1
637,0
1404,1
1246,0
352,0
263,0
153,0
402,1
354,1
515,0
542,0
688,0
188,0
811,1
745,1
129,0
1059,1
1228,1
624,0
1425,1
30,0
527,1
1222,1
877,1
1549,1
1475,1
1073,1
1468,1
567,1
1259,1
596,1
1207,0
862,0
133,1
62,1
570,1
11,0
1441,1
697,1
785,0
1397,0
1193,0
1294,1
1077,0
225,1
156,0
1251,0
88,0
1127,1
167,0
72,0
1044,1
1383,0
190,0
211,1
238,1
49,0
1473,0
1199,1
1185,1
326,1
603,1
755,1
1535,1
66,0
1177,1
571,1
1553,0
1443,0
1334,0
86,1
549,1
1132,1
1474,0
347,1
137,0
1564,0
1562,0
497,0
58,0
1483,0
302,0
1481,0
1452,1
804,1
924,0
528,1
214,1
396,0
574,1
677,0
660,1
414,0
598,1
444,1
436,1
664,0
946,1
202,0
226,1
796,0
840,1
195,0
1022,0
671,0
576,0
983,1
1380,1
1141,1
650,0
1414,0
55,0
8,1
676,1
716,0
196,0
506,1
391,1
642,0
720,0
568,1
512,1
77,1
958,1
1477,1
993,0
628,1
1125,1
525,0
445,1
454,0
399,0
371,1
1407,1
1493,0
1504,1
901,1
1363,0
1067,1
240,0
1297,1
1013,1
832,0
1072,1
752,0
1593,1
825,0
940,1
845,0
900,0
927,0
871,0
1387,0
1410,1
1062,1
703,0
593,0
1024,1
700,1
1385,0
291,0
935,1
583,1
878,1
945,1
791,0
1463,1
772,0
488,1
1552,1
600,0
1088,1
285,0
1175,1
1283,1
530,1
1591,1
1256,0
577,0
736,0
1537,1
988,0
1,0
615,0
655,0
496,1
1526,1
48,0
1250,1
556,1
1198,1
94,0
376,1
569,1
1322,0
1450,1
1186,0
405,1
969,0
353,0
693,0
56,0
999,1
1240,0
1146,1
482,0
695,1
950,1
761,0
1472,1
1108,0
1529,1
318,1
507,1
217,0
1486,0
1384,0
865,0
478,0
327,0
535,1
1200,1
12,0
25,0
632,1
533,1
848,0
723,0
649,1
331,1
707,0
1078,0
801,0
1282,1
1524,1
1360,0
307,1
667,1
1074,0
168,1
509,1
1438,0
465,0
366,1
816,1
633,0
351,1
1112,1
277,1
1213,1
1310,0
1572,0
130,0
498,1
116,1
505,1
916,0
1340,1
780,1
744,0
1183,0
21,0
191,1
502,1
1215,1
1145,1
343,1
1048,1
257,0
1136,1
670,0
1010,1
1018,1
69,1
1239,0
322,0
420,1
1521,0
1577,1
462,0
1379,1
455,1
1547,0
1257,1
1367,1
1291,1
947,1
973,0
29,1
674,1
565,0
439,0
685,0
1100,1
902,1
884,1
1592,1
475,0
78,0
377,1
954,1
369,1
408,1
566,1
400,0
44,0
90,0
933,0
