,classification
1245,0
1399,1
1488,0
106,0
385,1
1178,0
1511,0
4,0
380,1
486,0
485,0
1519,0
406,1
239,1
961,0
131,0
491,1
606,1
836,1
386,1
1115,1
630,1
1575,1
694,0
1184,0
882,1
381,1
122,0
1366,0
36,1
962,0
1090,1
560,0
1192,1
995,1
913,1
1300,1
1149,1
564,1
234,1
1130,1
449,1
332,1
974,1
1003,1
572,0
1364,1
621,0
1378,1
320,1
776,1
604,1
904,1
737,1
1420,0
17,0
1574,1
1576,1
1469,0
1155,0
953,1
619,0
823,0
1430,0
938,1
1467,0
1277,1
743,0
827,0
500,1
272,0
27,0
1144,0
1052,0
523,0
579,1
853,1
125,0
611,0
1471,0
557,0
1338,0
856,1
1348,0
109,0
370,0
636,0
1439,1
1051,0
267,1
450,1
398,1
1191,0
172,1
85,0
875,1
1278,1
680,0
1197,1
709,1
919,1
253,0
514,1
269,1
349,1
185,0
739,0
1043,1
867,1
1412,1
209,1
166,0
169,0
1571,1
597,1
181,0
1446,0
554,0
844,1
763,0
627,0
834,0
1131,0
142,1
1374,0
1335,1
1393,0
939,0
1042,1
1354,0
1122,1
412,0
151,0
1089,1
1583,0
602,0
1573,1
948,1
227,0
1580,1
1019,0
591,1
484,1
536,0
375,1
372,1
1299,0
984,0
221,0
1280,1
1502,0
964,1
797,1
1426,1
800,0
1437,0
308,1
1292,1
618,0
1597,0
379,1
1285,0
1255,0
276,1
1392,0
666,1
250,1
1101,1
1556,0
1194,1
731,0
45,0
561,0
10,0
1058,1
1503,1
446,0
943,1
1253,0
767,0
150,1
1097,0
1261,0
1120,1
5,0
1423,0
218,0
1466,1
1530,1
545,0
1171,1
781,0
1174,1
453,1
50,0
89,0
751,0
715,1
340,1
136,0
1554,1
1329,1
260,0
1070,1
1041,1
1162,1
544,1
918,1
1330,1
683,0
1231,0
952,1
443,1
314,0
1342,1
679,0
1495,1
468,1
1164,0
170,0
1021,1
1326,1
864,0
1405,1
311,1
1371,1
607,1
1359,1
985,1
157,0
422,0
1271,1
1254,0
635,0
652,0
1578,1
1315,1
1274,1
725,0
1581,0
1353,0
87,0
907,1
212,1
1388,0
1065,1
467,1
184,1
1507,1
241,1
905,0
1485,0
932,1
1357,1
1218,1
1445,1
183,0
654,0
451,1
1491,0
97,0
1321,1
815,0
187,0
1293,0
197,1
925,1
860,0
754,1
1029,1
829,1
789,0
1349,0
1368,1
513,1
76,0
880,0
749,1
1027,0
1314,1
590,0
1002,1
334,1
741,0
770,1
897,1
653,1
661,0
539,0
1109,1
833,0
393,0
1214,1
298,0
448,1
54,1
46,0
894,1
978,1
33,1
1361,0
503,1
1288,0
1435,1
37,1
872,0
1279,1
659,0
489,1
824,0
305,1
315,1
230,1
1152,0
732,0
1038,1
1049,1
1428,0
1147,1
336,1
,classification
813,0
271,1
971,1
388,1
1466,1
708,1
576,0
1352,0
957,1
663,1
852,0
972,1
163,0
1558,0
982,1
1537,1
328,1
1089,1
750,0
1194,1
557,0
594,0
560,0
821,1
295,0
818,0
242,1
581,0
690,0
909,1
488,1
476,0
745,1
1567,0
670,0
200,1
1424,1
107,0
898,1
1337,0
431,0
15,0
260,0
41,0
1249,1
28,0
1276,0
717,0
569,1
643,0
923,1
1535,1
1321,1
148,1
1279,1
1114,1
599,1
590,0
1390,1
84,1
977,0
261,0
2,0
1331,0
327,0
1345,1
1347,0
1539,0
377,1
118,1
302,0
130,0
1119,0
1289,0
792,1
889,0
230,1
479,1
582,0
298,0
173,1
549,1
979,0
1152,0
1436,0
1584,1
1364,1
819,0
847,1
1244,1
1006,1
415,0
6,0
1579,0
1500,0
209,1
1465,0
653,1
799,1
1228,1
108,1
1314,1
26,0
1375,0
771,0
870,1
1350,0
99,1
1141,1
793,0
294,1
1009,0
788,1
948,1
413,1
486,0
554,0
1072,1
100,1
410,1
201,0
1303,0
360,0
72,0
1432,1
1107,1
517,0
42,1
268,1
498,1
1463,1
506,1
7,1
832,0
1557,1
1112,1
408,1
1104,1
712,0
1556,0
23,0
174,0
183,0
247,0
300,1
399,0
270,1
1161,1
234,1
1342,1
484,1
187,0
441,1
346,1
159,1
404,0
428,0
1057,0
445,1
922,1
1475,1
127,0
468,1
462,0
359,1
733,0
1591,1
1368,1
50,0
353,0
375,1
1195,1
760,0
1076,1
161,0
997,1
119,1
394,0
902,1
807,1
1008,1
182,0
650,0
991,0
706,0
342,1
1078,0
1127,1
389,1
1487,0
935,1
421,1
779,0
152,0
1338,0
566,1
33,1
324,1
533,1
841,0
884,1
1306,0
694,0
471,1
1122,1
55,0
1438,0
924,0
1129,1
1250,1
1483,0
801,0
728,0
1402,1
381,1
598,1
1496,0
1399,1
496,1
891,0
1214,1
545,0
429,1
8,1
1196,1
1377,1
1308,0
1117,1
762,1
538,1
336,1
567,1
1490,1
1437,0
1522,0
272,0
1430,0
1392,0
607,1
943,1
1274,1
756,1
804,1
1175,1
681,1
1421,0
357,1
1320,0
1197,1
1380,1
382,1
45,0
1148,1
758,0
751,0
1580,1
810,0
505,1
1171,1
759,0
1571,1
570,1
1565,1
620,0
907,1
456,0
784,0
1183,0
1318,1
34,0
101,1
1381,0
883,0
519,0
1100,1
1417,1
438,1
453,1
189,0
1099,0
512,1
366,1
1024,1
1191,0
928,0
311,1
1096,1
1140,1
738,0
240,0
1351,1
280,1
1563,0
146,0
398,1
969,0
194,0
1419,0
526,0
1145,1
669,1
1051,0
1261,0
815,0
1275,1
1323,1
871,0
1394,0
1335,1
699,1
49,0
638,1
833,0
390,1
1559,0
964,1
587,0
1401,0
292,1
1225,0
,classification
1180,1
1224,1
988,0
180,0
129,0
447,0
31,1
642,0
1315,1
317,1
399,0
628,1
134,1
1558,0
656,0
865,0
870,1
12,0
64,0
753,0
168,1
1438,0
1536,1
240,0
1000,1
488,1
1299,0
1161,1
936,1
791,0
956,1
155,0
1392,0
467,1
775,0
933,0
1198,1
1366,0
238,1
1068,1
1136,1
949,1
944,1
239,1
1414,0
1229,0
478,0
825,0
575,1
1471,0
906,0
119,1
1562,0
201,0
363,0
757,0
138,0
1530,1
44,0
1270,1
486,0
1435,1
821,1
310,1
142,1
1230,1
1164,0
273,0
1212,1
6,0
52,1
1300,1
893,0
184,1
340,1
1531,0
159,1
393,0
374,1
111,0
946,1
516,1
131,0
296,0
1568,0
635,0
16,1
666,1
1451,1
1023,1
1291,1
980,1
1025,1
1012,0
1467,0
720,0
456,0
556,1
907,1
747,0
959,0
1267,1
939,0
1172,1
475,0
1384,0
853,1
263,0
1432,1
1385,0
45,0
186,0
1112,1
1338,0
1126,1
207,0
1124,0
1148,1
288,1
560,0
1295,0
1137,1
1213,1
429,1
1214,1
160,0
1377,1
204,1
634,0
432,1
828,1
1378,1
1188,0
1125,1
258,0
1318,1
515,0
1367,1
1177,1
383,1
1133,1
1360,0
1456,1
295,0
297,0
547,1
1592,1
198,1
629,0
361,1
511,1
1149,1
72,0
1474,0
987,0
1368,1
18,0
1509,0
1519,0
1398,1
1511,0
919,1
351,1
1376,0
1084,1
67,0
557,0
1586,1
276,1
1538,0
1037,0
697,1
583,1
1073,1
413,1
75,0
1033,1
596,1
1252,0
632,1
1421,0
1263,0
27,0
545,0
1050,0
1473,0
1375,0
489,1
473,0
655,0
298,0
1319,1
183,0
157,0
726,1
1286,1
368,0
1560,0
521,0
1257,1
1039,1
176,0
1584,1
291,0
242,1
504,1
1386,0
1523,0
1059,1
224,0
574,1
1589,0
1100,1
463,0
328,1
507,1
826,1
415,0
1362,1
211,1
459,0
498,1
1440,1
135,0
994,0
170,0
1387,0
1572,0
1277,1
790,1
1026,1
543,1
376,1
477,1
1185,1
1545,1
402,1
1088,1
200,1
717,0
804,1
1408,1
820,0
1326,1
875,1
153,0
895,1
1579,0
723,0
1483,0
423,1
890,0
1109,1
53,0
1156,1
648,1
605,1
682,0
965,1
82,0
1515,1
325,1
1159,0
755,1
305,1
1390,1
1070,1
10,0
702,1
348,1
864,0
989,1
1086,1
4,0
208,0
731,0
659,0
314,0
524,0
508,1
1254,0
761,0
327,0
1395,1
773,1
472,1
360,0
144,1
608,1
1253,0
1402,1
485,0
716,0
1356,0
102,1
1274,1
866,1
565,0
1578,1
421,1
1504,1
984,0
85,0
120,0
1275,1
585,1
613,0
1090,1
1308,0
1527,1
623,1
1281,1
1468,1
1577,1
995,1
1134,1
1546,0
244,1
1528,1
1153,1
,classification
1432,1
1450,1
80,0
114,0
1124,0
55,0
570,1
818,0
238,1
558,1
1169,1
53,0
211,1
254,1
361,1
1097,0
192,0
916,0
1390,1
712,0
1490,1
789,0
1033,1
221,0
843,0
362,0
1005,1
470,0
379,1
429,1
583,1
1249,1
1478,0
1125,1
1049,1
1513,1
551,1
404,0
778,0
1088,1
657,1
526,0
785,0
230,1
1202,1
547,1
489,1
1285,0
855,1
476,0
500,1
1253,0
263,0
1121,1
140,0
989,1
1385,0
734,0
1030,1
138,0
1000,1
660,1
586,1
591,1
662,1
1523,0
972,1
180,0
1352,0
682,0
400,0
36,1
1061,1
6,0
1514,1
631,0
1058,1
905,0
1322,0
1395,1
295,0
865,0
1447,0
623,1
1261,0
878,1
892,1
524,0
787,1
866,1
490,1
1215,1
317,1
1526,1
769,0
1148,1
641,0
47,0
749,1
1324,1
795,0
1175,1
1267,1
107,0
556,1
1050,0
1360,0
115,1
966,1
3,1
153,0
846,0
1595,1
44,0
12,0
1372,0
1567,0
1134,1
1383,0
921,1
1014,1
1560,0
1435,1
34,0
185,0
177,1
1426,1
1377,1
693,0
481,1
431,0
825,0
260,0
1551,0
854,1
381,1
1531,0
1535,1
1093,1
611,0
780,1
1275,1
259,1
1375,0
495,1
711,0
1473,0
1246,0
945,1
1437,0
1172,1
1381,0
1483,0
901,1
244,1
1021,1
719,0
1254,0
1492,0
1094,1
1361,0
1563,0
33,1
1354,0
421,1
1557,1
1400,0
685,0
1495,1
730,0
1188,0
560,0
534,1
118,1
1479,0
1406,1
1588,1
777,1
71,0
640,0
628,1
956,1
398,1
923,1
1348,0
1197,1
288,1
1085,0
210,1
1235,0
30,0
691,0
1100,1
485,0
1114,1
392,0
1344,0
1213,1
943,1
436,1
1283,1
555,0
658,1
332,1
75,0
908,1
563,1
1110,1
416,1
491,1
1421,0
932,1
784,0
43,0
172,1
1016,1
1570,1
1151,1
432,1
746,1
929,1
756,1
447,0
826,1
443,1
76,0
84,1
897,1
963,1
876,0
22,0
414,0
1369,0
353,0
1498,1
1379,1
582,0
1041,1
1537,1
258,0
1174,1
441,1
150,1
1590,1
519,0
363,0
707,0
298,0
1339,1
216,0
1411,1
253,0
1373,0
912,1
123,0
635,0
391,1
1167,1
1067,1
772,0
125,0
559,1
879,0
1186,0
1196,1
979,0
121,1
1006,1
405,1
160,0
864,0
1046,1
1220,1
824,0
1546,0
801,0
1003,1
217,0
699,1
1216,1
747,0
1549,1
1331,0
1393,0
301,1
134,1
1291,1
1092,1
1542,1
1299,0
1289,0
669,1
837,1
645,1
1009,0
59,1
1157,1
722,0
773,1
1441,1
672,0
1496,0
1055,1
64,0
1346,0
758,0
598,1
847,1
1501,0
136,0
599,1
720,0
16,1
1089,1
644,0
345,0
1263,0
1004,0
1365,0
649,1
,classification
798,1
459,0
877,1
731,0
1574,1
313,0
549,1
860,0
475,0
157,0
321,0
509,1
300,1
142,1
1193,0
35,1
1115,1
1103,1
1321,1
862,0
95,1
424,0
1509,0
290,1
451,1
914,1
1033,1
1571,1
1576,1
873,1
796,0
474,1
1203,0
1010,1
288,1
109,0
1117,1
888,1
1483,0
559,1
1504,1
1520,1
376,1
519,0
1547,0
43,0
1083,1
12,0
1467,0
1221,1
898,1
1261,0
1459,1
1052,0
906,0
828,1
1255,0
745,1
740,1
570,1
532,0
1332,1
625,0
272,0
1002,1
935,1
871,0
819,0
649,1
864,0
395,1
756,1
479,1
1428,0
1209,1
1070,1
1148,1
880,0
1476,0
1538,0
515,0
205,1
726,1
1525,0
1575,1
543,1
1443,0
172,1
1113,1
393,0
629,0
642,0
1078,0
1380,1
868,1
1249,1
771,0
127,0
1238,0
84,1
1436,0
778,0
1164,0
1345,1
537,1
219,0
847,1
922,1
991,0
1231,0
988,0
398,1
1412,1
1012,0
924,0
22,0
1243,0
1133,1
17,0
1014,1
243,1
116,1
1149,1
487,1
554,0
967,0
1095,0
1151,1
667,1
98,0
1227,0
132,0
1217,1
258,0
972,1
536,0
1499,1
1225,0
832,0
1593,1
954,1
676,1
697,1
911,1
1288,0
1214,1
551,1
1187,1
1035,1
1583,0
34,0
1559,0
1586,1
285,0
1423,0
198,1
298,0
153,0
1022,0
0,0
500,1
156,0
1251,0
632,1
1312,0
608,1
894,1
339,1
152,0
1079,1
633,0
1369,0
355,1
184,1
630,1
713,0
510,0
1532,1
1541,1
912,1
1041,1
1565,1
452,1
827,0
210,1
826,1
249,1
419,0
107,0
1379,1
147,0
793,0
372,1
1461,0
773,1
976,0
927,0
241,1
1174,1
224,0
1478,0
938,1
1109,1
736,0
387,1
790,1
876,0
446,0
1212,1
522,0
1019,0
346,1
875,1
223,1
668,0
1247,0
488,1
852,0
575,1
686,0
606,1
908,1
18,0
83,0
437,1
90,0
473,0
351,1
760,0
1147,1
702,1
1003,1
1457,0
85,0
328,1
580,0
270,1
1027,0
261,0
563,1
1063,1
1198,1
1471,0
1244,1
507,1
867,1
1539,0
295,0
211,1
48,0
1223,1
1314,1
1301,1
527,1
1166,0
738,0
296,0
968,1
801,0
1283,1
581,0
190,0
956,1
783,0
1494,1
1245,0
1074,0
610,0
495,1
449,1
1488,0
1502,0
1138,0
654,0
420,1
117,1
1156,1
403,1
458,1
824,0
565,0
710,0
750,0
715,1
1177,1
883,0
1513,1
1170,1
1349,0
830,0
334,1
36,1
260,0
335,1
821,1
1256,0
1201,1
708,1
1047,0
82,0
1470,0
1036,1
1264,1
1202,1
818,0
1450,1
204,1
1060,1
748,1
226,1
797,1
1160,1
1050,0
618,0
706,0
115,1
655,0
1469,0
1277,1
1168,1
,classification
1579,0
309,1
663,1
9,0
1041,1
1158,1
1142,1
1141,1
270,1
213,0
846,0
702,1
1380,1
133,1
1528,1
713,0
428,0
114,0
232,1
1417,1
1264,1
1452,1
572,0
899,0
775,0
1273,0
20,1
121,1
246,0
55,0
86,1
551,1
785,0
715,1
1385,0
1179,1
1522,0
24,1
773,1
1346,0
836,1
1572,0
216,0
0,0
1040,0
1244,1
157,0
867,1
531,0
344,1
970,1
939,0
297,0
1046,1
1440,1
1051,0
118,1
205,1
91,1
1072,1
458,1
919,1
185,0
797,1
888,1
1317,1
575,1
306,0
313,0
1549,1
370,0
134,1
1243,0
1154,1
546,1
495,1
231,1
256,0
557,0
345,0
1152,0
187,0
766,0
1498,1
1080,1
496,1
779,0
1553,0
434,1
1013,1
1474,0
975,0
893,0
1116,1
532,0
1488,0
1107,1
886,1
77,1
93,0
937,0
510,0
666,1
1225,0
1287,0
809,1
94,0
1105,0
1382,0
1086,1
493,1
953,1
927,0
936,1
730,0
247,0
367,0
733,0
878,1
1292,1
1386,0
117,1
1563,0
887,1
662,1
1192,1
408,1
347,1
614,1
1097,0
718,0
258,0
1554,1
739,0
1484,0
1525,0
1439,1
626,0
99,1
844,1
1436,0
298,0
1395,1
1573,1
1294,1
859,1
3,1
1443,0
831,1
851,0
53,0
1257,1
414,0
1187,1
413,1
1568,0
509,1
523,0
512,1
619,0
693,0
1479,0
640,0
1520,1
902,1
1024,1
664,0
1101,1
1533,0
504,1
1469,0
1343,1
501,1
617,1
742,0
1255,0
1087,1
1050,0
95,1
192,0
506,1
1099,0
1103,1
1139,1
620,0
431,0
1351,1
335,1
67,0
856,1
1278,1
799,1
1004,0
515,0
573,0
1552,1
158,0
796,0
558,1
700,1
1174,1
141,0
308,1
75,0
1067,1
123,0
1453,0
1191,0
57,0
873,1
1261,0
566,1
1203,0
1198,1
385,1
518,1
1530,1
166,0
440,1
1095,0
1190,1
69,1
1458,0
235,1
439,0
945,1
357,1
1063,1
52,1
795,0
1035,1
769,0
106,0
85,0
82,0
1504,1
1448,0
894,1
1510,1
810,0
1125,1
658,1
176,0
791,0
332,1
1085,0
423,1
525,0
43,0
261,0
922,1
1296,0
338,1
182,0
665,0
1234,1
926,1
497,0
486,0
291,0
869,1
1376,0
12,0
45,0
1540,1
223,1
1571,1
227,0
132,0
269,1
1159,0
935,1
543,1
165,0
1550,0
949,1
1441,1
196,0
757,0
25,0
901,1
492,1
776,1
1372,0
674,1
1250,1
676,1
56,0
348,1
466,1
330,1
1497,1
1078,0
668,0
942,1
1587,1
397,1
1217,1
449,1
149,1
1313,1
680,0
1503,1
934,0
1333,0
1345,1
1515,1
47,0
1178,0
403,1
204,1
683,0
432,1
1162,1
1422,1
590,0
248,1
637,0
1045,1
772,0
,classification
850,0
616,0
1560,0
1179,1
1415,0
1172,1
1053,1
1498,1
738,0
1368,1
1018,1
1178,0
1228,1
120,0
129,0
1173,1
92,0
1008,1
226,1
1169,1
1521,0
834,0
1594,0
324,1
1239,0
45,0
1271,1
1102,1
1541,1
280,1
408,1
674,1
689,0
781,0
212,1
114,0
568,1
897,1
1420,0
507,1
152,0
274,0
1501,0
1220,1
1448,0
649,1
352,0
424,0
1092,1
498,1
383,1
1137,1
650,0
1422,1
1471,0
995,1
776,1
168,1
991,0
206,1
1337,0
1394,0
185,0
1569,1
832,0
1109,1
532,0
1450,1
1296,0
1597,0
1087,1
744,0
887,1
1481,0
928,0
618,0
562,0
804,1
587,0
604,1
15,0
139,0
708,1
1026,1
55,0
640,0
284,0
921,1
551,1
1005,1
474,1
745,1
1474,0
1292,1
880,0
799,1
759,0
803,1
576,0
1232,0
573,0
11,0
343,1
372,1
994,0
192,0
