,classification
639,1
421,1
1242,1
810,0
762,1
815,0
423,1
616,0
1447,0
1006,1
813,0
1071,0
1024,1
1290,0
921,1
530,1
936,1
1368,1
663,1
37,1
1174,1
1335,1
175,0
994,0
275,1
528,1
454,0
265,1
769,0
1088,1
1337,0
144,1
942,1
1060,1
192,0
124,0
1495,1
642,0
36,1
1362,1
719,0
689,0
679,0
476,0
506,1
1351,1
776,1
1239,0
1037,0
1218,1
919,1
398,1
1022,0
846,0
14,0
961,0
1137,1
918,1
533,1
394,0
1439,1
117,1
1186,0
1450,1
46,0
1557,1
987,0
1070,1
939,0
171,1
1229,0
96,0
232,1
1353,0
274,0
859,1
650,0
56,0
451,1
805,1
615,0
1471,0
1315,1
1364,1
294,1
1268,1
334,1
682,0
747,0
1478,0
1431,1
127,0
858,1
462,0
666,1
1350,0
215,0
1180,1
498,1
1038,1
370,0
1236,1
1481,0
1156,1
978,1
87,0
1582,0
565,0
967,0
683,0
413,1
1327,1
134,1
313,0
1135,1
1141,1
875,1
740,1
935,1
1055,1
954,1
806,1
441,1
997,1
745,1
431,0
938,1
1085,0
1409,1
946,1
1164,0
490,1
1347,0
1295,0
1227,0
960,1
1150,1
1015,1
914,1
131,0
581,0
912,1
22,0
1418,0
28,0
301,1
1596,1
545,0
78,0
372,1
996,1
542,0
657,1
472,1
1400,0
809,1
866,1
103,0
481,1
147,0
1301,1
1251,0
933,0
378,1
199,0
798,1
111,0
908,1
726,1
1574,1
1094,1
1225,0
668,0
509,1
405,1
706,0
850,0
734,0
800,0
379,1
406,1
290,1
910,1
1026,1
649,1
1365,0
1190,1
564,1
1010,1
335,1
1153,1
1432,1
1020,1
1117,1
8,1
736,0
1205,1
381,1
71,0
838,1
1238,0
1114,1
540,0
691,0
1008,1
1424,1
705,0
25,0
1001,1
561,0
1101,1
53,0
165,0
1226,0
1219,1
937,0
1333,0
1381,0
397,1
1033,1
457,0
717,0
1130,1
1456,1
880,0
1257,1
931,0
1517,1
392,0
662,1
799,1
1586,1
283,1
722,0
911,1
347,1
51,1
1089,1
342,1
1151,1
876,0
279,1
1118,1
1282,1
1434,1
972,1
1385,0
221,0
897,1
1127,1
758,0
1492,0
1317,1
1392,0
241,1
1470,0
703,0
1441,1
222,0
1166,0
1049,1
1017,1
1513,1
977,0
1030,1
1577,1
1560,0
1573,1
608,1
541,1
860,0
497,0
763,0
425,1
1466,1
1423,0
583,1
1519,0
133,1
801,0
823,0
1259,1
1034,1
1269,1
1140,1
1341,1
529,0
77,1
1401,0
1544,1
184,1
310,1
1235,0
1389,0
1016,1
443,1
297,0
1445,1
688,0
16,1
317,1
38,0
1404,1
883,0
389,1
1223,1
1076,1
276,1
1357,1
348,1
168,1
1267,1
1372,0
1028,1
513,1
1533,0
869,1
251,1
1298,1
1558,0
923,1
156,0
1388,0
1308,0
1105,0
273,0
653,1
1311,1
1092,1
697,1
161,0
1504,1
470,0
678,0
109,0
361,1
198,1
596,1
698,0
592,0
1143,1
99,1
783,0
10,0
756,1
69,1
1183,0
140,0
458,1
136,0
964,1
571,1
811,1
701,1
511,1
107,0
1057,0
495,1
30,0
254,1
868,1
460,1
1415,0
1271,1
328,1
235,1
249,1
562,0
1211,0
1062,1
1169,1
1258,1
1185,1
400,0
968,1
1438,0
1405,1
1204,1
1213,1
1390,1
267,1
309,1
17,0
41,0
63,0
1040,0
106,0
1485,0
580,0
671,0
178,0
759,0
246,0
1004,0
1073,1
1160,1
1121,1
1349,0
824,0
295,0
483,0
1575,1
158,0
635,0
770,1
1192,1
182,0
1197,1
940,1
306,0
924,0
754,1
1066,1
1212,1
1547,0
1444,1
1460,1
1476,0
499,1
1425,1
1322,0
351,1
1046,1
610,0
194,0
1014,1
594,0
444,1
442,1
90,0
603,1
970,1
155,0
234,1
1594,0
7,1
685,0
1036,1
980,1
566,1
1578,1
1300,1
1345,1
402,1
434,1
388,1
149,1
176,0
1346,0
633,0
916,0
1058,1
1196,1
418,1
644,0
298,0
891,0
