,classification
179,0
941,1
1549,1
738,0
653,1
1468,1
275,1
1488,0
1519,0
743,0
1074,0
835,0
549,1
156,0
1582,0
171,1
461,0
1057,0
121,1
68,0
456,0
1222,1
494,1
127,0
177,1
1482,0
608,1
394,0
1412,1
1586,1
1269,1
1506,1
328,1
331,1
199,0
1105,0
1209,1
9,0
1176,0
1132,1
794,1
580,0
637,0
1584,1
251,1
454,0
974,1
253,0
1228,1
1478,0
538,1
1345,1
1413,0
413,1
540,0
753,0
1189,0
559,1
990,0
140,0
645,1
1158,1
241,1
613,0
1034,1
99,1
734,0
85,0
692,0
1353,0
393,0
1179,1
1321,1
262,0
98,0
992,1
729,1
424,0
291,0
365,1
69,1
881,1
821,1
980,1
1442,0
1131,0
1292,1
142,1
1523,0
1430,0
641,0
1257,1
1497,1
302,0
298,0
310,1
274,0
670,0
1129,1
1580,1
469,0
1184,0
1193,0
682,0
35,1
138,0
1001,1
186,0
195,0
451,1
827,0
1304,0
812,0
1264,1
250,1
72,0
311,1
154,0
1211,0
1293,0
397,1
1503,1
788,1
1328,0
293,1
450,1
493,1
348,1
334,1
1191,0
907,1
706,0
384,0
679,0
820,0
1182,1
848,0
1459,1
222,0
996,1
745,1
1266,1
115,1
16,1
136,0
457,0
701,1
383,1
1588,1
213,0
931,0
717,0
1515,1
628,1
1437,0
619,0
1339,1
43,0
532,0
776,1
173,1
1157,1
1007,1
1112,1
8,1
988,0
1366,0
547,1
1103,1
1019,0
801,0
643,0
889,0
705,0
118,1
1540,1
1507,1
1032,0
458,1
1395,1
1525,0
966,1
762,1
747,0
200,1
408,1
1127,1
257,0
846,0
391,1
615,0
842,1
1199,1
1410,1
1373,0
1097,0
740,1
148,1
10,0
773,1
728,0
46,0
659,0
799,1
1382,0
62,1
539,0
592,0
418,1
1030,1
956,1
845,0
1114,1
153,0
429,1
1012,0
1484,0
449,1
1283,1
386,1
1401,0
1210,1
1553,0
452,1
1155,0
1146,1
1423,0
1433,1
258,0
224,0
546,1
1460,1
1535,1
512,1
1587,1
914,1
239,1
245,1
317,1
475,0
1297,1
1464,0
405,1
266,0
804,1
1477,1
633,0
1004,0
921,1
593,0
1453,0
282,0
673,0
56,0
602,0
107,0
1270,1
273,0
851,0
1367,1
36,1
1042,1
1135,1
1354,0
550,1
1121,1
1528,1
805,1
1260,0
411,0
206,1
1336,0
1307,0
1010,1
176,0
703,0
1323,1
529,0
243,1
604,1
1092,1
147,0
939,0
944,1
339,1
215,0
60,0
45,0
744,0
