,classification
1042,1
995,1
184,1
600,0
527,1
1240,0
1187,1
928,0
322,0
794,1
879,0
126,0
1455,1
1113,1
137,0
376,1
1065,1
1096,1
1222,1
324,1
553,0
1562,0
524,0
850,0
1390,1
301,1
185,0
934,0
1468,1
880,0
751,0
1131,0
249,1
213,0
329,0
912,1
1578,1
1509,0
30,0
136,0
491,1
838,1
1434,1
1444,1
554,0
694,0
1559,0
1212,1
59,1
650,0
460,1
1576,1
1038,1
209,1
771,0
42,1
194,0
1011,1
1001,1
125,0
651,0
321,0
848,0
696,1
259,1
588,1
1282,1
1115,1
1083,1
1535,1
846,0
1502,0
96,0
808,0
1257,1
555,0
748,1
578,0
461,0
198,1
481,1
1426,1
1129,1
1473,0
1398,1
566,1
120,0
918,1
944,1
447,0
539,0
947,1
860,0
640,0
1527,1
284,0
1465,0
134,1
1128,0
1143,1
498,1
287,1
144,1
1039,1
1536,1
1093,1
484,1
465,0
818,0
1265,1
240,0
1415,0
672,0
1579,0
10,0
1416,0
228,1
1085,0
1512,1
1278,1
8,1
1557,1
968,1
1284,0
1514,1
760,0
1283,1
803,1
341,1
988,0
1020,1
722,0
166,0
29,1
410,1
804,1
1249,1
1186,0
188,0
689,0
1513,1
1254,0
350,1
1164,0
496,1
505,1
834,0
1496,0
1041,1
1119,0
638,1
712,0
286,1
385,1
1114,1
181,0
94,0
1440,1
788,1
601,1
721,0
1169,1
216,0
229,0
1403,1
303,0
577,0
363,0
1281,1
1367,1
470,0
4,0
306,0
707,0
467,1
1030,1
214,1
1500,0
508,1
211,1
1428,0
704,0
1201,1
1580,1
1522,0
389,1
665,0
1121,1
1193,0
1333,0
1498,1
1024,1
201,0
1356,0
235,1
602,0
294,1
1531,0
1539,0
55,0
1382,0
897,1
1547,0
679,0
949,1
720,0
800,0
90,0
551,1
174,0
1054,1
594,0
1003,1
911,1
1181,0
791,0
845,0
1546,0
1331,0
1067,1
836,1
1091,1
1472,1
1074,0
782,0
1482,0
821,1
609,1
753,0
165,0
1463,1
1508,1
340,1
1549,1
273,0
737,1
1034,1
884,1
1525,0
910,1
955,0
438,1
1507,1
280,1
314,0
959,0
473,0
175,0
1288,0
569,1
226,1
391,1
745,1
295,0
608,1
892,1
1345,1
1160,1
1594,0
1364,1
1459,1
378,1
807,1
967,0
775,0
383,1
1451,1
382,1
871,0
326,1
1031,1
633,0
687,0
654,0
1411,1
900,0
375,1
872,0
1202,1
852,0
1378,1
421,1
92,0
582,0
72,0
823,0
1303,0
1158,1
1351,1
207,0
1171,1
152,0
53,0
874,1
861,1
319,1
1317,1
1068,1
499,1
307,1
556,1
793,0
1593,1
251,1
1184,0
159,1
305,1
830,0
317,1
1492,0
21,0
840,1
17,0
1453,0
983,1
550,1
0,0
468,1
1060,1
613,0
,classification
730,0
666,1
662,1
1577,1
1590,1
818,0
1155,0
1227,0
18,0
1509,0
505,1
1109,1
1204,1
617,1
1350,0
764,1
635,0
1255,0
521,0
230,1
284,0
606,1
231,1
1554,1
17,0
1337,0
411,0
984,0
992,1
363,0
789,0
260,0
1480,0
385,1
326,1
1521,0
335,1
1072,1
1168,1
1517,1
1147,1
470,0
186,0
1225,0
1146,1
639,1
520,1
1081,1
621,0
169,0
1588,1
1342,1
634,0
438,1
13,0
1193,0
1583,0
1400,0
688,0
886,1
484,1
1262,0
1392,0
1219,1
133,1
1465,0
346,1
1171,1
506,1
1068,1
1515,1
616,0
1367,1
1184,0
1252,0
1451,1
1430,0
1540,1
30,0
426,1
1291,1
349,1
1261,0
279,1
372,1
449,1
828,1
1060,1
94,0
630,1
779,0
47,0
524,0
1099,0
810,0
125,0
1098,1
1089,1
317,1
1096,1
714,0
659,0
320,1
466,1
1366,0
1458,0
1499,1
1268,1
302,0
1035,1
890,0
1139,1
511,1
1031,1
