,classification
1035,1
247,0
1104,1
1392,0
47,0
1537,1
444,1
1372,0
169,0
839,0
1560,0
814,1
154,0
89,0
580,0
819,0
1255,0
38,0
533,1
514,1
812,0
233,0
589,1
1510,1
227,0
565,0
558,1
1518,0
1028,1
752,0
954,1
1406,1
923,1
1027,0
283,1
835,0
647,0
986,1
1566,1
12,0
330,1
878,1
95,1
705,0
1153,1
635,0
764,1
117,1
736,0
832,0
773,1
1477,1
1456,1
1449,1
1116,1
586,1
1219,1
530,1
561,0
1565,1
1313,1
1491,0
1044,1
623,1
1017,1
778,0
802,1
644,0
714,0
1405,1
290,1
206,1
981,0
746,1
1268,1
1381,0
501,1
924,0
1090,1
1239,0
418,1
99,1
238,1
1407,1
1474,0
1200,1
423,1
218,0
1490,1
592,0
347,1
961,0
1487,0
1348,0
1412,1
246,0
223,1
1138,0
1225,0
336,1
1000,1
33,1
873,1
49,0
439,0
457,0
1540,1
1552,1
190,0
1140,1
741,0
1422,1
167,0
1420,0
1336,0
101,1
430,1
416,1
1132,1
526,0
474,1
1189,0
1006,1
19,1
114,0
1075,1
488,1
1101,1
1148,1
990,0
572,0
414,0
1071,0
866,1
124,0
332,1
15,0
1308,0
1264,1
999,1
1048,1
1061,1
203,0
686,0
1045,1
1285,0
1271,1
1095,0
1597,0
469,0
548,1
641,0
26,0
176,0
199,0
573,0
509,1
1179,1
412,0
138,0
405,1
1058,1
1526,1
1077,0
479,1
896,1
268,1
1534,1
1323,1
464,1
596,1
1125,1
316,0
1431,1
323,1
359,1
1247,0
1554,1
842,1
621,0
338,1
939,0
683,0
1450,1
1263,0
44,0
429,1
563,1
1568,0
757,0
63,0
671,0
630,1
1359,1
16,1
1582,0
215,0
951,1
517,0
1172,1
160,0
50,0
157,0
636,0
710,0
772,0
352,0
1584,1
1346,0
3,1
732,0
856,1
653,1
22,0
403,1
1556,0
1163,0
1310,0
76,0
441,1
45,0
311,1
1315,1
344,1
1402,1
83,0
935,1
1161,1
241,1
1401,0
790,1
1228,1
1185,1
982,1
13,0
1542,1
1383,0
1012,0
135,0
1026,1
1396,0
1032,0
471,1
1086,1
1190,1
724,0
11,0
502,1
729,1
914,1
436,1
424,0
1545,1
1587,1
1230,1
1429,0
1504,1
1475,1
1109,1
973,0
276,1
231,1
941,1
1379,1
366,1
325,1
263,0
452,1
571,1
770,1
265,1
46,0
1149,1
18,0
1175,1
755,1
1272,0
357,1
1585,1
252,0
172,1
355,1
1572,0
64,0
749,1
776,1
271,1
849,0
1521,0
387,1
476,0
130,0
618,0
785,0
1087,1
109,0
261,0
1371,1
349,1
853,1
1136,1
688,0
1229,0
108,1
1362,1
1589,0
519,0
1251,0
1231,0
855,1
933,0
862,0
1598,1
810,0
