,classification
638,1
185,0
1031,1
371,1
1398,1
140,0
560,0
284,0
1190,1
1579,0
923,1
1088,1
119,1
326,1
959,0
1555,1
1512,1
459,0
717,0
1364,1
705,0
843,0
766,0
1231,0
587,0
1342,1
813,0
877,1
1061,1
132,0
1007,1
1008,1
376,1
1048,1
1422,1
465,0
20,1
656,0
1172,1
896,1
1374,0
1137,1
1211,0
461,0
49,0
1249,1
1219,1
1444,1
669,1
267,1
1580,1
205,1
109,0
460,1
574,1
232,1
818,0
143,0
435,0
421,1
1165,0
898,1
1072,1
533,1
1457,0
253,0
382,1
1345,1
1272,0
1262,0
1261,0
405,1
546,1
1152,0
248,1
496,1
1045,1
749,1
427,1
886,1
1392,0
858,1
780,1
1074,0
1215,1
61,0
852,0
1,0
1260,0
1270,1
686,0
487,1
788,1
630,1
429,1
437,1
1269,1
1447,0
1050,0
685,0
946,1
1091,1
1485,0
1302,1
75,0
1268,1
767,0
508,1
1204,1
304,0
517,0
694,0
332,1
1169,1
492,1
0,0
1417,1
1452,1
928,0
919,1
1283,1
1287,0
387,1
1085,0
1205,1
50,0
882,1
1547,0
1301,1
244,1
1288,0
748,1
1069,0
832,0
941,1
913,1
1479,0
255,0
921,1
1459,1
353,0
178,0
358,1
1470,0
251,1
871,0
17,0
346,1
1077,0
1548,0
1344,0
6,0
723,0
365,1
857,1
280,1
1127,1
1199,1
319,1
1321,1
498,1
900,0
794,1
1549,1
432,1
1359,1
369,1
1096,1
883,0
1259,1
605,1
1255,0
409,0
410,1
204,1
1057,0
7,1
918,1
1361,0
1552,1
57,0
693,0
1092,1
834,0
469,0
121,1
275,1
1236,1
992,1
1446,0
564,1
1047,0
1263,0
37,1
73,0
530,1
245,1
106,0
268,1
147,0
176,0
1551,0
1097,0
783,0
734,0
1179,1
759,0
1496,0
1476,0
171,1
1495,1
1350,0
1187,1
885,0
619,0
1075,1
1090,1
190,0
1023,1
1166,0
1385,0
1553,0
1468,1
104,0
833,0
562,0
636,0
769,0
1391,0
598,1
101,1
1340,1
753,0
1174,1
285,0
702,1
71,0
430,1
867,1
572,0
294,1
1188,0
189,0
547,1
155,0
1180,1
1036,1
1139,1
1314,1
940,1
1436,0
1109,1
631,0
1456,1
801,0
1029,1
929,1
601,1
1225,0
117,1
909,1
78,0
1390,1
1381,0
261,0
1519,0
890,0
254,1
942,1
869,1
1515,1
604,1
535,1
1159,0
118,1
607,1
1277,1
279,1
428,0
197,1
569,1
1400,0
664,0
