,classification
649,1
507,1
1136,1
448,1
265,1
1541,1
691,0
548,1
163,0
782,0
1154,1
1155,0
103,0
226,1
532,0
854,1
1389,0
230,1
276,1
575,1
1232,0
333,0
1373,0
1590,1
281,1
1275,1
648,1
1531,0
1409,1
385,1
1429,0
356,0
414,0
1491,0
1167,1
1177,1
84,1
1087,1
781,0
558,1
1488,0
1546,0
1279,1
360,0
264,0
623,1
944,1
1406,1
454,0
1307,0
1448,0
1568,0
35,1
675,0
82,0
1257,1
579,1
700,1
741,0
653,1
1523,0
640,0
66,0
755,1
1209,1
1100,1
1576,1
375,1
476,0
1122,1
31,1
1197,1
808,0
1133,1
811,1
745,1
1492,0
62,1
159,1
1486,0
996,1
577,0
60,0
1442,0
77,1
111,0
1349,0
907,1
706,0
1163,0
526,0
127,0
910,1
342,1
40,0
373,0
955,0
787,1
1322,0
388,1
92,0
1207,0
710,0
823,0
1370,0
1578,1
1191,0
36,1
1256,0
1520,1
262,0
269,1
770,1
827,0
1310,0
340,1
392,0
161,0
762,1
758,0
1005,1
1053,1
485,0
406,1
1588,1
1540,1
449,1
1424,1
643,0
599,1
581,0
1439,1
157,0
38,0
211,1
968,1
999,1
292,1
1319,1
1581,0
571,1
737,1
431,0
880,0
1538,0
1341,1
149,1
263,0
413,1
1189,0
361,1
1227,0
55,0
330,1
1247,0
1595,1
1570,1
1290,0
989,1
389,1
933,0
1473,0
331,1
290,1
1014,1
1035,1
417,0
689,0
1076,1
897,1
12,0
831,1
81,0
1033,1
83,0
847,1
698,0
585,1
15,0
903,1
259,1
1537,1
1221,1
43,0
1466,1
990,0
528,1
80,0
137,0
1235,0
624,0
30,0
310,1
93,0
416,1
1242,1
1571,1
523,0
1208,1
697,1
1054,1
377,1
1140,1
566,1
25,0
701,1
1148,1
1131,0
1068,1
1103,1
1353,0
438,1
1117,1
1304,0
305,1
198,1
145,0
812,0
108,1
72,0
839,0
68,0
142,1
206,1
613,0
1348,0
1318,1
1080,1
1410,1
1327,1
1070,1
344,1
655,0
59,1
905,0
1064,1
479,1
835,0
1214,1
1202,1
1058,1
182,0
728,0
1423,0
668,0
600,0
846,0
1378,1
977,0
403,1
768,1
1592,1
531,0
1554,1
1460,1
260,0
1594,0
1171,1
1121,1
985,1
52,1
908,1
1397,0
744,0
692,0
1396,0
1298,1
1465,0
997,1
1055,1
1293,0
350,1
1425,1
179,0
1144,0
554,0
324,1
956,1
1292,1
1572,0
1297,1
1502,0
887,1
1034,1
308,1
948,1
1577,1
815,0
115,1
1382,0
1354,0
1213,1
606,1
468,1
973,0
1229,0
733,0
822,0
988,0
1513,1
1337,0
1164,0
772,0
848,0
695,1
837,1
646,0
845,0
805,1
1372,0
282,0
320,1
1564,0
1484,0
64,0
872,0
307,1
972,1
881,1
680,0
,classification
240,0
297,0
1403,1
773,1
390,1
1148,1
1215,1
1101,1
1488,0
473,0
790,1
1389,0
509,1
652,0
181,0
865,0
1468,1
679,0
1121,1
174,0
1378,1
88,0
1526,1
808,0
1262,0
989,1
1375,0
79,0
260,0
1566,1
1451,1
605,1
318,1
419,0
1342,1
649,1
1463,1
538,1
761,0
95,1
91,1
432,1
1231,0
1228,1
422,0
1320,0
967,0
1,0
211,1
1110,1
927,0
464,1
1265,1
1448,0
189,0
223,1
395,1
407,1
1485,0
1203,0
205,1
631,0
986,1
1010,1
733,0
36,1
1017,1
1305,0
478,0
198,1
1301,1
744,0
1060,1
353,0
499,1
1208,1
497,0
1197,1
11,0
123,0
218,0
160,0
935,1
1054,1
633,0
3,1
1107,1
239,1
1042,1
161,0
67,0
1316,1
743,0
599,1
1315,1
587,0
522,0
372,1
418,1
31,1
327,0
1158,1
1073,1
696,1
1018,1
639,1
1532,1
27,0
1038,1
641,0
374,1
1249,1
946,1
1238,0
1147,1
920,0
1227,0
730,0
765,1
1565,1
1500,0
261,0
570,1
400,0
767,0
1361,0
1260,0
1567,0
80,0
906,0
446,0
708,1
276,1
600,0
1199,1
398,1
583,1
782,0
426,1
539,0
871,0
859,1
1214,1
549,1
572,0
1391,0
938,1
957,1
303,0
65,0
896,1
962,0
529,0
543,1
329,0
467,1
1507,1
594,0
339,1
1558,0
845,0
102,1
1434,1
831,1
55,0
494,1
1544,1
1005,1
956,1
1116,1
577,0
377,1
1064,1
1374,0
266,0
62,1
597,1
441,1
764,1
952,1
279,1
1445,1
876,0
1351,1
43,0
213,0
1004,0
604,1
501,1
615,0
1408,1
970,1
1115,1
667,1
1067,1
931,0
7,1
923,1
580,0
1210,1
778,0
168,1
188,0
870,1
1012,0
763,0
414,0
1257,1
1014,1
944,1
32,0
1274,1
225,1
49,0
832,0
814,1
307,1
1467,0
684,0
1494,1
162,1
220,1
1407,1
1009,0
1324,1
1586,1
1401,0
157,0
971,1
1474,0
420,1
26,0
1141,1
665,0
345,0
299,0
118,1
1366,0
1298,1
1245,0
1349,0
1413,0
131,0
1041,1
1581,0
197,1
399,0
951,1
828,1
1132,1
268,1
752,0
463,0
661,0
1430,0
528,1
222,0
779,0
581,0
1025,1
1081,1
677,0
1321,1
282,0
370,0
440,1
900,0
1334,0
1322,0
