,classification
783,0
1304,0
863,0
1064,1
95,1
226,1
1327,1
1440,1
1145,1
1253,0
165,0
258,0
638,1
609,1
808,0
1432,1
607,1
308,1
2,0
755,1
573,0
65,0
1013,1
1363,0
143,0
600,0
623,1
1006,1
328,1
936,1
954,1
899,0
603,1
253,0
97,0
535,1
377,1
937,0
929,1
341,1
674,1
309,1
1149,1
999,1
1032,0
1431,1
134,1
1438,0
429,1
376,1
1062,1
304,0
1058,1
1593,1
1157,1
969,0
1596,1
781,0
418,1
933,0
1366,0
671,0
1218,1
153,0
1234,1
197,1
843,0
1169,1
346,1
556,1
1185,1
970,1
803,1
1433,1
662,1
404,0
760,0
994,0
119,1
726,1
85,0
500,1
39,0
205,1
713,0
1041,1
1206,1
41,0
442,1
170,0
216,0
1126,1
154,0
410,1
1100,1
1188,0
180,0
375,1
1009,0
1071,0
1288,0
1050,0
493,1
211,1
1485,0
895,1
379,1
832,0
1005,1
752,0
688,0
735,0
1118,1
238,1
534,1
642,0
1178,0
86,1
393,0
303,0
1539,0
660,1
796,0
311,1
1553,0
363,0
779,0
526,0
698,0
1287,0
1285,0
1146,1
1575,1
499,1
1302,1
282,0
1203,0
465,0
113,1
472,1
995,1
653,1
291,0
3,1
1205,1
200,1
543,1
1248,1
521,0
858,1
1190,1
1565,1
158,0
626,0
202,0
1419,0
1342,1
1569,1
665,0
1323,1
280,1
532,0
411,0
981,0
1442,0
1192,1
750,0
605,1
906,0
1476,0
66,0
116,1
1448,0
108,1
1257,1
1374,0
1452,1
1504,1
186,0
1389,0
1441,1
31,1
1585,1
277,1
871,0
799,1
1582,0
1300,1
365,1
723,0
118,1
356,0
816,1
1042,1
1498,1
40,0
398,1
1578,1
318,1
1500,0
652,0
710,0
1502,0
84,1
611,0
646,0
1321,1
345,0
650,0
724,0
1506,1
420,1
1197,1
848,0
419,0
1143,1
1251,0
1010,1
1119,0
720,0
227,0
1011,1
1055,1
661,0
1480,0
142,1
56,0
457,0
676,1
798,1
565,0
378,1
594,0
1308,0
1049,1
569,1
106,0
582,0
64,0
413,1
960,1
1199,1
109,0
877,1
1312,0
673,0
951,1
38,0
496,1
1271,1
822,0
581,0
1102,1
815,0
570,1
50,0
1362,1
295,0
1268,1
298,0
440,1
79,0
916,0
647,0
767,0
26,0
1067,1
444,1
678,0
546,1
146,0
544,1
677,0
366,1
1576,1
1274,1
1021,1
1014,1
1148,1
292,1
880,0
4,0
1044,1
1142,1
409,0
1023,1
1423,0
1344,0
1522,0
1074,0
335,1
952,1
1090,1
1147,1
1574,1
479,1
643,0
1115,1
675,0
777,1
344,1
769,0
1220,1
144,1
22,0
1038,1
612,1
1186,0
1509,0
395,1
99,1
931,0
207,0
1341,1
1372,0
1092,1
30,0
156,0
1265,1
859,1
,classification
100,1
1327,1
85,0
1428,0
1399,1
583,1
119,1
721,0
1365,0
1516,0
290,1
1544,1
113,1
1491,0
1037,0
24,1
509,1
450,1
58,0
646,0
949,1
691,0
154,0
704,0
1581,0
19,1
758,0
133,1
932,1
843,0
