,classification
313,0
1472,1
1297,1
1577,1
659,0
488,1
1552,1
286,1
1414,0
1191,0
1043,1
223,1
1226,0
129,0
1193,0
680,0
172,1
1158,1
294,1
637,0
432,1
338,1
279,1
1282,1
1094,1
368,0
645,1
351,1
1467,0
103,0
1550,0
1388,0
183,0
1326,1
438,1
836,1
1447,0
1113,1
101,1
417,0
562,0
731,0
924,0
1375,0
791,0
577,0
194,0
1225,0
761,0
790,1
1039,1
1219,1
271,1
163,0
630,1
1568,0
914,1
1543,1
1403,1
189,0
236,1
164,0
1007,1
362,0
705,0
107,0
6,0
1417,1
740,1
875,1
482,0
1150,1
809,1
1240,0
190,0
719,0
1286,1
1368,1
7,1
305,1
1336,0
137,0
390,1
1177,1
1478,0
1175,1
1531,0
1487,0
147,0
551,1
590,0
788,1
1430,0
1547,0
503,1
1567,0
679,0
1307,0
1587,1
120,0
1045,1
912,1
1295,0
430,1
1211,0
747,0
1241,0
1020,1
177,1
1343,1
443,1
1231,0
403,1
450,1
169,0
331,1
742,0
1546,0
195,0
1549,1
402,1
1562,0
891,0
1170,1
1365,0
1171,1
1059,1
1424,1
1112,1
1334,0
1,0
233,0
904,1
374,1
1386,0
1420,0
1319,1
1073,1
655,0
853,1
25,0
512,1
380,1
820,0
1207,0
1399,1
1000,1
789,0
1507,1
61,0
1262,0
11,0
355,1
633,0
1096,1
574,1
734,0
756,1
431,0
1560,0
1133,1
150,1
232,1
776,1
686,0
1583,0
939,0
763,0
454,0
1518,0
69,1
903,1
322,0
484,1
266,0
764,1
974,1
1322,0
1477,1
224,0
1554,1
198,1
597,1
983,1
505,1
782,0
634,0
329,0
68,0
1526,1
381,1
1172,1
1456,1
1331,0
1453,0
1194,1
814,1
1256,0
566,1
530,1
1525,0
1488,0
870,1
130,0
897,1
649,1
1590,1
1316,1
204,1
501,1
427,1
1024,1
62,1
1008,1
1451,1
1047,0
824,0
261,0
1407,1
873,1
616,0
358,1
804,1
507,1
121,1
1329,1
412,0
399,0
231,1
415,0
127,0
922,1
1421,0
1346,0
887,1
1069,0
1449,1
1101,1
1173,1
300,1
1494,1
1079,1
115,1
966,1
1140,1
1213,1
1095,0
1125,1
1328,0
1437,0
930,0
462,0
693,0
1544,1
1232,0
608,1
725,0
716,0
49,0
184,1
1001,1
274,0
424,0
451,1
1200,1
428,0
270,1
584,1
187,0
1204,1
537,1
240,0
1223,1
1068,1
117,1
307,1
1589,0
1548,0
1369,0
1352,0
1351,1
900,0
997,1
964,1
523,0
463,0
1410,1
468,1
670,0
1527,1
1584,1
104,0
257,0
882,1
923,1
578,0
1446,0
21,0
33,1
1214,1
455,1
122,0
447,0
1535,1
1015,1
971,1
1355,0
1156,1
1085,0
542,0
460,1
1303,0
800,0
1404,1
287,1
36,1
1345,1
620,0
807,1
894,1
1189,0
1408,1
910,1
879,0
1080,1
138,0
851,0
1459,1
1072,1
1284,0
827,0
478,0
193,0
1057,0
464,1
868,1
1222,1
481,1
860,0
1458,0
1244,1
498,1
1586,1
1077,0
67,0
208,0
151,0
1097,0
171,1
1542,1
188,0
1084,1
801,0
87,0
98,0
744,0
273,0
564,1
1450,1
350,1
738,0
1075,1
1330,1
1324,1
622,0
1401,0
1376,0
1580,1
239,1
1216,1
229,0
794,1
1528,1
319,1
797,1
1538,0
965,1
682,0
1160,1
1272,0
1402,1
618,0
1356,0
592,0
1227,0
63,0
384,0
758,0
437,1
739,0
1339,1
1395,1
140,0
246,0
1161,1
136,0
1398,1
1299,0
1566,1
321,0
1018,1
1454,1
718,0
96,0
1364,1
1318,1
1505,0
538,1
509,1
370,0
941,1
1524,1
