,classification
1088,1
282,0
1299,0
779,0
1190,1
1508,1
332,1
846,0
46,0
654,0
249,1
753,0
604,1
136,0
1472,1
1448,0
818,0
827,0
242,1
78,0
1162,1
1166,0
907,1
1497,1
220,1
1469,0
1094,1
741,0
643,0
1485,0
1580,1
1332,1
1499,1
776,1
995,1
1233,0
412,0
449,1
666,1
1350,0
1535,1
634,0
535,1
1435,1
1347,0
755,1
93,0
1071,0
791,0
774,1
982,1
1034,1
993,0
1168,1
55,0
422,0
778,0
1143,1
744,0
968,1
472,1
1560,0
218,0
1161,1
195,0
465,0
348,1
298,0
121,1
361,1
1532,1
584,1
1105,0
760,0
580,0
1278,1
1574,1
1282,1
738,0
817,1
386,1
491,1
1247,0
438,1
117,1
811,1
101,1
922,1
1232,0
143,0
397,1
381,1
748,1
992,1
854,1
88,0
1545,1
734,0
51,1
1381,0
1483,0
750,0
936,1
1183,0
1519,0
629,0
191,1
219,0
336,1
815,0
1578,1
62,1
553,0
618,0
1369,0
225,1
1586,1
872,0
426,1
616,0
224,0
350,1
351,1
92,0
1062,1
1086,1
24,1
962,0
788,1
1102,1
828,1
1021,1
1002,1
404,0
585,1
667,1
1382,0
180,0
834,0
1271,1
851,0
1480,0
805,1
1040,0
1371,1
596,1
1160,1
444,1
58,0
442,1
978,1
85,0
1203,0
1352,0
384,0
401,1
428,0
1154,1
919,1
823,0
1118,1
280,1
669,1
161,0
1152,0
1022,0
1501,0
1076,1
376,1
949,1
12,0
1458,0
1587,1
816,1
147,0
740,1
1340,1
1522,0
852,0
1444,1
297,0
785,0
13,0
398,1
1351,1
1392,0
1227,0
238,1
1446,0
710,0
603,1
283,1
707,0
698,0
1148,1
937,0
433,0
122,0
1372,0
1510,1
860,0
1136,1
581,0
988,0
829,1
991,0
1252,0
239,1
1240,0
108,1
1224,1
711,0
1054,1
967,0
891,0
1124,0
10,0
723,0
1015,1
513,1
571,1
257,0
1432,1
625,0
1572,0
686,0
183,0
437,1
1280,1
844,1
1270,1
848,0
311,1
198,1
612,1
154,0
193,0
1344,0
720,0
966,1
1181,0
1095,0
650,0
409,0
478,0
176,0
1100,1
1079,1
870,1
1324,1
871,0
1308,0
284,0
1316,1
1438,0
649,1
41,0
981,0
1027,0
90,0
862,0
1461,0
1566,1
1145,1
1179,1
1579,0
1457,0
134,1
930,0
943,1
1003,1
793,0
