,classification
22,0
1583,0
1141,1
137,0
1388,0
1087,1
1375,0
404,0
284,0
370,0
342,1
1059,1
713,0
516,1
841,0
1339,1
973,0
1161,1
1351,1
1239,0
1070,1
846,0
943,1
407,1
1178,0
1028,1
237,1
417,0
133,1
1433,1
332,1
1559,0
853,1
613,0
388,1
874,1
577,0
1271,1
662,1
805,1
632,1
1176,0
1346,0
1193,0
1549,1
694,0
357,1
20,1
37,1
389,1
436,1
1030,1
1503,1
273,0
1342,1
301,1
1504,1
635,0
1310,0
203,0
363,0
739,0
830,0
796,0
204,1
1040,0
902,1
1392,0
995,1
908,1
153,0
912,1
304,0
978,1
964,1
1022,0
839,0
1135,1
861,1
950,1
1093,1
1411,1
600,0
1571,1
1448,0
465,0
6,0
1460,1
250,1
525,0
62,1
678,0
1426,1
640,0
186,0
1334,0
277,1
336,1
1425,1
235,1
916,0
1502,0
658,1
1466,1
286,1
868,1
967,0
1357,1
1162,1
1286,1
1279,1
159,1
1057,0
954,1
1309,0
876,0
799,1
61,0
1197,1
200,1
971,1
998,1
503,1
535,1
285,0
673,0
729,1
1085,0
1277,1
371,1
409,0
1066,1
1430,0
410,1
1508,1
1519,0
850,0
1365,0
1455,1
929,1
70,1
355,1
626,0
1403,1
762,1
48,0
1229,0
1283,1
136,0
1019,0
541,1
1102,1
979,0
1427,0
1238,0
620,0
311,1
785,0
856,1
939,0
246,0
935,1
665,0
477,1
1472,1
681,1
511,1
1268,1
382,1
472,1
728,0
1254,0
128,1
833,0
1348,0
259,1
102,1
146,0
1252,0
784,0
896,1
869,1
1090,1
1264,1
838,1
1080,1
1362,1
892,1
1097,0
1198,1
804,1
155,0
732,0
663,1
1160,1
1345,1
47,0
317,1
693,0
85,0
1311,1
1285,0
377,1
848,0
1487,0
1033,1
904,1
650,0
787,1
1539,0
1561,0
229,0
321,0
473,0
458,1
624,0
58,0
474,1
1534,1
1582,0
362,0
1531,0
245,1
433,0
330,1
1144,0
993,0
115,1
1527,1
1418,0
343,1
1000,1
383,1
519,0
80,0
290,1
369,1
1506,1
230,1
735,0
611,0
431,0
1478,0
1517,1
599,1
1225,0
1521,0
533,1
969,0
1436,0
1021,1
1318,1
720,0
1041,1
170,0
706,0
1511,0
35,1
1446,0
725,0
562,0
1306,0
878,1
1209,1
1058,1
569,1
234,1
1315,1
1181,0
966,1
39,0
1542,1
456,0
