,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol
154,0.43,0.42,5.5,0.07,29.0,129.0,3.42,0.72,10.5
90,0.52,0.26,1.9,0.079,42.0,140.0,3.23,0.54,9.5
175,0.5,0.04,1.5,0.085,19.0,49.0,3.35,0.78,9.5
36,0.6,0.14,2.4,0.086,3.0,15.0,3.42,0.6,10.8
65,0.725,0.05,4.65,0.086,4.0,11.0,3.41,0.39,10.9
1116,0.69,0.07,2.5,0.091,15.0,21.0,3.38,0.6,11.3
989,0.295,0.4,1.5,0.073,14.0,21.0,3.14,0.51,10.9
1409,0.51,0.0,2.1,0.064,40.0,54.0,3.54,0.93,10.7
860,0.62,0.06,2.7,0.077,15.0,85.0,3.51,0.54,9.5
411,0.45,0.35,2.4,0.08,23.0,78.0,3.38,0.62,9.5
72,0.69,0.22,1.9,0.084,18.0,94.0,3.31,0.48,9.5
271,0.18,0.51,4.0,0.104,4.0,23.0,3.28,0.97,10.1
1124,0.58,0.0,2.2,0.096,3.0,13.0,3.62,0.62,11.5
523,0.4,0.49,2.5,0.085,38.0,142.0,3.22,0.55,9.4
1282,0.765,0.0,2.0,0.084,9.0,22.0,3.33,0.68,10.9
1501,0.82,0.29,4.3,0.083,21.0,64.0,3.16,0.53,9.4
1138,0.41,0.15,3.7,0.104,29.0,94.0,3.14,0.58,9.1
780,0.57,0.0,2.0,0.19,12.0,45.0,3.31,0.6,9.4
974,0.33,0.41,5.9,0.073,7.0,13.0,3.3,0.62,12.1
1173,0.36,0.31,1.7,0.079,26.0,65.0,3.46,0.62,9.5
179,0.61,0.14,2.4,0.067,10.0,42.0,3.19,0.59,9.5
653,0.33,0.59,2.8,0.079,9.0,30.0,3.12,0.54,12.0
79,0.625,0.2,1.5,0.08,27.0,119.0,3.16,1.12,9.1
808,0.53,0.12,1.9,0.165,4.0,12.0,3.26,0.86,9.2
1067,0.31,0.53,2.2,0.06,3.0,10.0,3.02,0.83,10.9
589,0.29,0.49,2.6,0.059,5.0,13.0,3.05,0.74,10.5
1499,0.74,0.03,2.3,0.054000000000000006,7.0,16.0,3.45,0.63,11.5
9,0.5,0.36,6.1,0.071,17.0,102.0,3.35,0.8,10.5
249,0.66,0.0,2.0,0.084,6.0,23.0,3.61,0.96,9.9
96,0.775,0.0,3.0,0.102,8.0,23.0,3.45,0.56,10.7
1532,0.53,0.13,2.0,0.058,18.0,22.0,3.21,0.68,9.9
323,0.59,0.42,2.8,0.09,35.0,73.0,3.28,0.7,9.5
44,0.67,0.02,1.8,0.05,5.0,11.0,3.48,0.52,9.5
1555,0.56,0.17,1.7,0.065,15.0,24.0,3.44,0.68,10.55
499,0.69,0.31,3.0,0.086,23.0,81.0,3.48,0.74,11.6
1347,0.655,0.03,1.8,0.078,7.0,12.0,3.34,0.39,9.5
183,0.61,0.2,1.8,0.077,11.0,65.0,3.54,0.58,9.3
1217,0.34,0.37,1.9,0.057,43.0,74.0,3.23,0.81,12.0
300,0.53,0.06,2.6,0.086,20.0,44.0,3.38,0.59,10.7
545,0.47,0.49,2.6,0.094,38.0,106.0,3.08,0.59,9.1
280,0.26,0.44,3.6,0.071,6.0,19.0,3.12,0.82,9.3
1053,0.33,0.42,2.3,0.07,9.0,20.0,3.38,0.77,12.7
87,0.49,0.26,1.9,0.062,9.0,31.0,3.39,0.64,9.6
215,0.49,0.49,5.6,0.06,26.0,121.0,3.34,0.76,10.5
1250,0.6,0.01,2.3,0.079,24.0,37.0,3.4,0.61,10.9
498,0.35,0.53,2.6,0.07,5.0,16.0,3.15,0.65,11.0
733,0.45,0.34,2.7,0.08199999999999999,16.0,72.0,3.55,0.6,9.5
448,0.53,0.22,2.0,0.1,7.0,27.0,3.2,0.56,10.2
1155,0.6,0.25,2.2,0.118,9.0,38.0,3.15,0.53,9.8
559,0.47,0.49,4.3,0.085,6.0,47.0,3.3,0.68,12.7
148,0.49,0.1,2.3,0.07400000000000001,12.0,30.0,3.42,0.58,10.2
1257,0.58,0.28,4.8,0.085,12.0,69.0,3.32,0.7,11.0
193,0.55,0.21,2.2,0.071,7.0,28.0,3.28,0.55,9.7
1031,0.55,0.01,1.8,0.093,9.0,15.0,3.35,0.58,11.0
1420,0.53,0.01,1.6,0.077,3.0,19.0,3.16,0.46,9.8
1528,0.29,0.49,2.2,0.096,21.0,59.0,3.31,0.67,10.1
748,0.5,0.18,2.1,0.071,12.0,31.0,3.52,0.72,9.6
1050,0.43,0.17,1.8,0.08199999999999999,27.0,51.0,3.49,0.64,10.4
1214,0.33,0.46,1.9,0.081,6.0,9.0,3.1,0.48,10.4
715,0.49,0.18,2.7,0.069,13.0,34.0,3.29,0.48,9.2
266,0.87,0.0,3.3,0.096,26.0,61.0,3.6,0.72,9.8
1245,0.55,0.19,1.8,0.08199999999999999,15.0,34.0,3.49,0.68,10.5
1406,0.24,0.34,5.1,0.062,8.0,22.0,3.22,0.94,10.9
887,0.52,0.38,2.6,0.066,29.0,56.0,3.15,0.79,12.1
387,0.66,0.15,1.9,0.079,17.0,42.0,3.31,0.54,9.6
698,0.615,0.28,3.2,0.087,18.0,72.0,3.31,0.53,9.7
161,0.68,0.02,1.3,0.07200000000000001,9.0,20.0,3.17,1.08,9.2
919,0.62,0.12,1.8,0.07200000000000001,38.0,46.0,3.38,0.89,11.8
1512,0.79,0.04,2.2,0.061,11.0,17.0,3.53,0.65,10.4
489,0.39,0.4,2.6,0.073,10.0,26.0,3.34,0.75,10.2
1293,0.755,0.0,1.9,0.084,6.0,12.0,3.34,0.49,9.7
1064,0.74,0.09,2.0,0.067,5.0,10.0,3.28,0.57,11.8
1495,0.43,0.02,1.9,0.08,15.0,28.0,3.35,0.81,10.6
1249,0.6,0.01,2.3,0.079,24.0,37.0,3.4,0.61,10.9
1159,0.41,0.43,2.2,0.11,11.0,37.0,3.16,0.67,10.8
782,0.82,0.05,2.4,0.081,26.0,96.0,3.36,0.53,10.0
1399,0.67,0.0,2.2,0.068,10.0,24.0,3.42,0.72,11.1
1174,0.36,0.31,1.7,0.079,26.0,65.0,3.46,0.62,9.5
233,0.52,0.25,2.6,0.081,10.0,37.0,3.46,0.5,11.0
446,0.38,0.6,2.6,0.081,31.0,72.0,3.1,0.73,10.5
590,0.45,0.49,2.6,0.084,21.0,75.0,3.35,0.57,9.7
758,0.87,0.0,2.2,0.084,10.0,31.0,3.25,0.5,9.8
1180,0.35,0.33,2.4,0.076,11.0,47.0,3.27,0.81,11.0
1125,0.24,0.35,1.7,0.055,13.0,27.0,3.14,0.59,11.3
1551,0.67,0.0,2.3,0.083,18.0,27.0,3.44,0.54,9.4
423,0.24,0.47,2.1,0.066,6.0,24.0,3.15,0.9,11.0
828,0.57,0.09,2.3,0.065,34.0,45.0,3.46,0.74,12.7
1596,0.51,0.13,2.3,0.076,29.0,40.0,3.42,0.75,11.0
32,0.655,0.12,2.3,0.083,15.0,113.0,3.17,0.66,9.8
858,0.28,0.47,1.7,0.054000000000000006,17.0,32.0,3.15,0.67,10.6
612,0.64,0.0,2.4,0.077,18.0,29.0,3.32,0.6,10.0
1167,0.33,0.39,2.5,0.07400000000000001,29.0,48.0,3.32,0.88,12.4
309,0.29,0.38,1.7,0.062,9.0,30.0,3.41,0.53,9.5
263,0.37,0.23,1.8,0.077,23.0,49.0,3.28,0.67,9.3
851,0.43,0.44,1.9,0.085,9.0,22.0,3.28,0.55,9.5
1032,0.82,0.0,4.1,0.095,5.0,14.0,3.36,0.53,9.6
1056,0.48,0.53,4.0,0.101,3.0,10.0,3.21,0.59,12.1
1489,0.57,0.1,2.1,0.048,4.0,11.0,3.44,0.76,10.8
1291,0.635,0.1,2.1,0.073,25.0,60.0,3.29,0.75,10.9
587,0.73,0.24,1.9,0.108,18.0,102.0,3.26,0.59,9.3
576,0.5,0.24,2.3,0.103,6.0,14.0,3.34,0.52,10.0
992,0.4,0.1,2.0,0.076,30.0,47.0,3.36,0.48,9.4
822,0.54,0.13,2.0,0.076,15.0,36.0,3.61,0.64,9.8
722,0.42,0.08,2.7,0.084,15.0,48.0,3.21,0.59,10.0
350,0.67,0.22,2.7,0.107,17.0,34.0,3.28,0.98,9.9
1303,0.28,0.44,1.8,0.081,28.0,68.0,3.36,0.66,11.2
487,0.645,0.36,1.8,0.053,5.0,14.0,3.17,0.42,10.0
1150,0.33,0.32,2.8,0.067,4.0,12.0,3.3,0.76,12.8
293,0.36,0.25,2.4,0.098,5.0,16.0,3.41,0.6,10.1
1027,0.795,0.0,2.2,0.065,28.0,52.0,3.49,0.52,11.6
1077,0.37,0.65,6.4,0.08,3.0,8.0,3.27,0.58,11.0
699,0.38,0.55,2.1,0.071,5.0,19.0,3.11,0.62,10.8
1314,0.36,0.21,2.4,0.086,24.0,69.0,3.4,0.53,10.1
1164,0.785,0.24,1.7,0.078,10.0,21.0,3.29,0.67,10.0
864,0.62,0.06,2.7,0.077,15.0,85.0,3.51,0.54,9.5
980,0.5,0.3,1.9,0.065,8.0,17.0,3.32,0.71,10.5
