fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
0.21238938053097345,0.2945205479452055,0.13,0.08904109589041095,0.10517529215358931,0.19718309859154928,0.10247349823321555,0.42804698972099686,0.48818897637795233,0.155688622754491,0.19999999999999996
0.3716814159292037,0.13013698630136986,0.4,0.13013698630136986,0.16193656093489148,0.08450704225352114,0.0353356890459364,0.44566813509545966,0.44881889763779537,0.27544910179640725,0.5230769230769232
0.4070796460176991,0.3767123287671233,0.1,0.14383561643835616,0.1318864774624374,0.15492957746478872,0.14840989399293286,0.6468428781204096,0.44881889763779537,0.125748502994012,0.1692307692307693
0.23008849557522126,0.41780821917808214,0.02,0.1095890410958904,0.10684474123539231,0.2112676056338028,0.12720848056537104,0.5234948604992695,0.5511811023622046,0.1137724550898204,0.13846153846153864
0.2654867256637168,0.3835616438356165,0.02,0.0273972602739726,0.10016694490818032,0.11267605633802817,0.04946996466431096,0.47209985315713254,0.3385826771653542,0.4491017964071857,0.12307692307692308
0.7433628318584071,0.136986301369863,0.65,0.11643835616438356,0.1352253756260434,0.19718309859154928,0.1448763250883392,0.6997063142437696,0.24409448818897594,0.16766467065868265,0.33846153846153837
0.12389380530973448,0.3561643835616438,0.05,0.0684931506849315,0.09015025041736227,0.11267605633802817,0.038869257950530034,0.3590308370044113,0.6141732283464565,0.2694610778443114,0.33846153846153837
0.424778761061947,0.14383561643835616,0.59,0.13013698630136986,0.11185308848080133,0.11267605633802817,0.08480565371024736,0.55286343612336,0.29921259842519676,0.125748502994012,0.5538461538461539
0.5486725663716815,0.226027397260274,0.33,0.1095890410958904,0.14524207011686144,0.26760563380281693,0.11307420494699648,0.5954478707782727,0.393700787401575,0.2275449101796407,0.36923076923076925
0.32743362831858414,0.0958904109589041,0.42,0.07534246575342465,0.11352253756260433,0.14084507042253522,0.07420494699646643,0.5381791483113005,0.3700787401574801,0.281437125748503,0.15384615384615397
