,classification
1198,1
1564,0
50,0
315,1
2,0
1268,1
1517,1
1584,1
861,1
785,0
1182,1
47,0
166,0
788,1
1492,0
888,1
1454,1
479,1
1232,0
464,1
1400,0
606,1
1215,1
616,0
796,0
1419,0
228,1
1361,0
41,0
842,1
1011,1
1535,1
32,0
884,1
852,0
866,1
831,1
1006,1
318,1
369,1
79,0
1575,1
765,1
535,1
220,1
465,0
187,0
1000,1
543,1
545,0
1135,1
635,0
67,0
907,1
1592,1
1076,1
122,0
1543,1
1513,1
1259,1
148,1
499,1
249,1
812,0
1501,0
1310,0
1495,1
1552,1
1139,1
828,1
1417,1
24,1
1201,1
431,0
638,1
896,1
1069,0
107,0
411,0
998,1
452,1
493,1
1062,1
1470,0
667,1
885,0
1163,0
112,0
1399,1
1311,1
1460,1
1565,1
265,1
533,1
1298,1
143,0
407,1
139,0
306,0
1087,1
979,0
513,1
444,1
1226,0
388,1
384,0
526,0
740,1
872,0
115,1
1039,1
897,1
1329,1
1551,0
116,1
867,1
1452,1
305,1
1240,0
1297,1
1432,1
738,0
1207,0
1125,1
154,0
733,0
296,0
363,0
1464,0
632,1
650,0
528,1
4,0
523,0
1223,1
1236,1
1047,0
1247,0
1099,0
1355,0
948,1
793,0
435,0
27,0
1280,1
1508,1
951,1
1423,0
1382,0
89,0
46,0
932,1
671,0
532,0
1234,1
472,1
215,0
903,1
297,0
264,0
721,0
1248,1
1159,0
436,1
1588,1
696,1
0,0
954,1
1007,1
1117,1
995,1
102,1
1133,1
30,0
727,0
674,1
1336,0
1581,0
920,0
184,1
901,1
1444,1
1303,0
74,0
1485,0
430,1
438,1
310,1
373,0
904,1
760,0
124,0
1171,1
521,0
607,1
84,1
1306,0
230,1
456,0
1429,0
596,1
427,1
1290,0
1365,0
960,1
783,0
22,0
1337,0
288,1
118,1
170,0
664,0
155,0
1379,1
1380,1
657,1
1267,1
1143,1
1416,0
60,0
641,0
1503,1
1314,1
1547,0
946,1
659,0
1100,1
269,1
1264,1
1375,0
367,0
572,0
174,0
1366,0
1021,1
856,1
64,0
1568,0
247,0
1060,1
1515,1
613,0
1078,0
295,0
1184,0
755,1
860,0
475,0
97,0
1572,0
16,1
991,0
1122,1
1335,1
973,0
1407,1
963,1
549,1
28,0
1172,1
550,1
1532,1
985,1
331,1
741,0
908,1
350,1
1538,0
11,0
71,0
597,1
359,1
507,1
207,0
285,0
1386,0
1027,0
,classification
370,0
1380,1
