,classification
289,0
1176,0
1477,1
1009,0
638,1
1576,1
831,1
1448,0
262,0
1304,0
114,0
881,1
1554,1
1515,1
284,0
866,1
1583,0
862,0
1374,0
614,1
293,1
109,0
313,0
627,0
177,1
291,0
1452,1
556,1
534,1
1363,0
1369,0
265,1
180,0
679,0
226,1
1080,1
1204,1
1218,1
1316,1
85,0
427,1
462,0
1131,0
253,0
500,1
685,0
1315,1
377,1
559,1
61,0
518,1
662,1
1121,1
1075,1
854,1
1455,1
672,0
1097,0
11,0
92,0
461,0
278,1
1441,1
1160,1
229,0
1234,1
207,0
900,0
15,0
626,0
1475,1
33,1
29,1
836,1
655,0
610,0
1055,1
1410,1
697,1
853,1
198,1
892,1
1147,1
549,1
1526,1
1064,1
720,0
1327,1
959,0
46,0
860,0
66,0
872,0
778,0
514,1
116,1
591,1
1474,0
339,1
1181,0
280,1
1429,0
798,1
1000,1
1238,0
571,1
975,0
484,1
705,0
1482,0
476,0
127,0
1130,1
1270,1
57,0
648,1
1424,1
751,0
501,1
1524,1
1318,1
429,1
39,0
793,0
77,1
1497,1
1544,1
205,1
600,0
953,1
1263,0
261,0
103,0
598,1
128,1
389,1
3,1
17,0
744,0
874,1
1333,0
50,0
188,0
533,1
508,1
1338,0
643,0
5,0
342,1
1467,0
1566,1
1561,0
1575,1
239,1
1320,0
95,1
44,0
1428,0
488,1
1250,1
1330,1
1169,1
450,1
664,0
1105,0
357,1
1077,0
1140,1
1581,0
782,0
1397,0
932,1
776,1
400,0
1287,0
1111,1
356,0
754,1
703,0
799,1
876,0
219,0
1223,1
125,0
941,1
1239,0
722,0
918,1
98,0
1252,0
1371,1
733,0
680,0
1481,0
870,1
676,1
1054,1
1336,0
1079,1
1072,1
883,0
248,1
1439,1
1354,0
1207,0
1095,0
199,0
849,0
538,1
966,1
512,1
396,0
715,1
267,1
740,1
34,0
640,0
765,1
584,1
706,0
105,0
1357,1
151,0
756,1
1529,1
988,0
1031,1
719,0
1150,1
716,0
1436,0
931,0
1413,0
1162,1
433,0
337,0
442,1
1159,0
374,1
420,1
1010,1
1553,0
889,0
1133,1
190,0
769,0
631,0
223,1
1407,1
893,0
914,1
597,1
299,0
1036,1
1182,1
47,0
208,0
801,0
802,1
1199,1
321,0
228,1
1324,1
161,0
1113,1
465,0
961,0
179,0
972,1
453,1
560,0
1051,0
1460,1
245,1
1190,1
30,0
558,1
739,0
143,0
1200,1
1398,1
1496,0
436,1
699,1
1556,0
1588,1
492,1
171,1
335,1
325,1
1244,1
551,1
483,0
1119,0
761,0
22,0
242,1
1517,1
1109,1
1466,1
1550,0
1161,1
312,1
395,1
838,1
93,0
997,1
78,0
1302,1
224,0
1592,1
263,0
983,1
115,1
695,1
1019,0
1520,1
1362,1
712,0
1268,1
,classification
709,1
374,1
162,1
1371,1
722,0
1092,1
808,0
821,1
118,1
893,0
615,0
1256,0
1271,1
1537,1
212,1
81,0
678,0
984,0
605,1
275,1
10,0
183,0
1454,1
645,1
1030,1
606,1
500,1
692,0
340,1
1522,0
21,0
1545,1
380,1
920,0
1089,1
884,1
477,1
467,1
364,1
801,0
1568,0
277,1
1032,0
1042,1
202,0
941,1
1492,0
1327,1
820,0
904,1
724,0
1513,1
1357,1
891,0
779,0
648,1
1439,1
1394,0
535,1
1279,1
1387,0
1141,1
175,0
403,1
883,0
880,0
1278,1
114,0
610,0
1026,1
1444,1
721,0
1459,1
1010,1
64,0
594,0
1465,0
147,0
1373,0
1209,1
204,1
1269,1
564,1
644,0
1112,1
1166,0
393,0
1460,1
133,1
252,0
416,1
980,1
830,0
1168,1
196,0
867,1
696,1
1240,0
520,1
661,0
390,1
1217,1
592,0
436,1
1386,0
418,1
1547,0
640,0
988,0
124,0
1160,1
1399,1
1317,1
1179,1
1335,1
649,1
852,0
1009,0
375,1
110,0
565,0
1570,1
595,0
166,0
355,1
569,1
1534,1
1150,1
566,1
1491,0
902,1
744,0
829,1
397,1
1253,0
449,1
1120,1
725,0
794,1
1268,1
819,0
1308,0
1296,0
704,0
1557,1
755,1
461,0
1416,0
210,1
86,1
1443,0
306,0
253,0
470,0
1452,1
13,0
1113,1
559,1
324,1
817,1
1107,1
1110,1
366,1
846,0
889,0
748,1
310,1
1060,1
119,1
1512,1
743,0
1098,1
654,0
906,0
171,1
1221,1
723,0
981,0
1496,0
788,1
241,1
417,0
1377,1
466,1
458,1
1035,1
684,0
1330,1
1567,0
1304,0
68,0
356,0
167,0
94,0
1446,0
378,1
288,1
838,1
1034,1
9,0
758,0
482,0
1233,0
317,1
1523,0
384,0
413,1
1410,1
1358,0
1497,1
1282,1
138,0
1036,1
1159,0
1336,0
189,0
186,0
703,0
1298,1
1077,0
729,1
1383,0
424,0
1380,1
946,1
187,0
869,1
956,1
1345,1
877,1
555,0
34,0
609,1
715,1
59,1
971,1
1265,1
1364,1
1194,1
1436,0
263,0
136,0
961,0
100,1
391,1
1588,1
125,0
1175,1
1124,0
1391,0
105,0
1059,1
1263,0
641,0
1000,1
361,1
1127,1
472,1
990,0
1289,0
188,0
1495,1
148,1
637,0
478,0
1046,1
1063,1
872,0
963,1
851,0
1067,1
3,1
401,1
76,0
1499,1
1368,1
1485,0
1214,1
56,0
799,1
1118,1
240,0
157,0
628,1
711,0
1575,1
918,1
102,1
1052,0
1589,0
1396,0
44,0
1431,1
1500,0
362,0
730,0
752,0
83,0
1285,0
728,0
1213,1
1594,0
1048,1
1076,1
1013,1
965,1
1008,1
1255,0
51,1
258,0
493,1
308,1
194,0
672,0
106,0
881,1
1248,1
159,1
1519,0
834,0
,classification
1101,1
1366,0
456,0
208,0
956,1
1169,1
515,0
516,1
1362,1
1557,1
1570,1
1543,1
281,1
1417,1
33,1
1552,1
739,0
511,1
755,1
1129,1
893,0
556,1
1189,0
546,1
671,0
1085,0
668,0
1110,1
180,0
203,0
1347,0
490,1
74,0
109,0
798,1
741,0
1294,1
626,0
868,1
1337,0
1522,0
823,0
1171,1
598,1
595,0
1516,0
517,0
528,1
545,0
330,1
150,1
99,1
1400,0
223,1
1234,1
382,1
722,0
717,0
1190,1
1212,1
142,1
960,1
843,0
519,0
309,1
318,1
179,0
1345,1
256,0
1098,1
58,0
1041,1
690,0
1406,1
245,1
899,0
371,1
1274,1
632,1
1571,1
1128,0
910,1
836,1
509,1
945,1
1474,0
1270,1
1266,1
95,1
410,1
1243,0
940,1
1286,1
202,0
451,1
84,1
116,1
361,1
672,0
140,0
1361,0
1203,0
392,0
749,1
190,0
947,1
1333,0
437,1
1340,1
1520,1
484,1
1097,0
775,0
1115,1
39,0
1216,1
1457,0
555,0
1594,0
975,0
1567,0
85,0
1344,0
1213,1
1012,0
113,1
559,1
1355,0
349,1
497,0
676,1
780,1
746,1
501,1
620,0
155,0
1145,1
520,1
1284,0
1075,1
648,1
502,1
616,0
848,0
210,1
972,1
357,1
1258,1
123,0
412,0
1357,1
990,0
1461,0
198,1
1143,1
867,1
587,0
1163,0
1585,1
455,1
513,1
434,1
102,1
163,0
1159,0
197,1
53,0
1164,0
529,0
603,1
644,0
1178,0
1293,0
280,1
88,0
1201,1
1308,0
1281,1
379,1
1330,1
341,1
1367,1
1509,0
442,1
1369,0
918,1
1106,1
124,0
658,1
1317,1
602,0
864,0
591,1
1483,0
401,1
846,0
80,0
1396,0
1118,1
793,0
255,0
1375,0
1191,0
29,1
321,0
241,1
1336,0
1556,0
514,1
575,1
1061,1
322,0
1166,0
1441,1
83,0
274,0
103,0
126,0
589,1
1048,1
1123,1
288,1
916,0
738,0
493,1
751,0
1125,1
873,1
1446,0
194,0
1017,1
19,1
25,0
896,1
1484,0
903,1
51,1
337,0
1021,1
562,0
1221,1
408,1
565,0
259,1
1144,0
1381,0
183,0
596,1
168,1
1448,0
295,0
1564,0
1463,1
1413,0
1390,1
771,0
1259,1
1455,1
783,0
419,0
708,1
40,0
11,0
1324,1
132,0
1219,1
1256,0
1437,0
1462,1
252,0
998,1
93,0
360,0
1211,0
173,1
663,1
560,0
472,1
339,1
959,0
613,0
750,0
250,1
234,1
636,0
735,0
1116,1
875,1
554,0
649,1
1272,0
723,0
761,0
1103,1
1426,1
995,1
338,1
1468,1
486,0
381,1
887,1
1488,0
870,1
1067,1
1054,1
926,1
1199,1
300,1
1584,1
1454,1
195,0
284,0
850,0
1262,0
1257,1
57,0
1296,0
1018,1
1298,1
1481,0
,classification
642,0
1530,1
291,0
1408,1
791,0
145,0
333,0
225,1
946,1
1534,1
1568,0
795,0
92,0
1566,1
986,1
941,1
1041,1
1118,1
498,1
98,0
1389,0
773,1
1419,0
1560,0
443,1
1166,0
432,1
1431,1
461,0
955,0
284,0
760,0
1471,0
777,1
1477,1
512,1
1480,0
693,0
285,0
1191,0
1209,1
128,1
840,1
1068,1
1134,1
1563,0
809,1
954,1
1531,0
55,0
15,0
463,0
438,1
1051,0
1354,0
388,1
488,1
1087,1
1417,1
1313,1
37,1
501,1
661,0
91,1
549,1
1484,0
870,1
237,1
385,1
702,1
109,0
814,1
1554,1
1302,1
692,0
573,0
1153,1
1268,1
1113,1
900,0
789,0
24,1
518,1
1421,0
12,0
1591,1
1464,0
663,1
1436,0
472,1
197,1
269,1
1473,0
536,0
503,1
568,1
283,1
11,0
263,0
1375,0
996,1
304,0
296,0
1030,1
154,0
606,1
634,0
1575,1
699,1
411,0
56,0
1169,1
969,0
23,0
545,0
723,0
1156,1
997,1
433,0
89,0
674,1
277,1
983,1
1293,0
877,1
1194,1
1385,0
32,0
184,1
74,0
195,0
1325,1
