,classification
973,0
1446,0
920,0
834,0
699,1
1418,0
317,1
613,0
117,1
72,0
913,1
563,1
554,0
491,1
696,1
923,1
777,1
1381,0
139,0
765,1
3,1
982,1
1593,1
871,0
866,1
1046,1
360,0
304,0
1306,0
802,1
1289,0
670,0
1504,1
681,1
1516,0
581,0
1490,1
1158,1
588,1
1038,1
1420,0
1443,0
433,0
1353,0
1163,0
910,1
948,1
734,0
733,0
811,1
363,0
635,0
1297,1
649,1
537,1
206,1
935,1
641,0
173,1
162,1
590,0
928,0
202,0
943,1
577,0
654,0
1356,0
992,1
883,0
258,0
391,1
439,0
1357,1
1473,0
1279,1
51,1
1064,1
423,1
1567,0
527,1
864,0
781,0
265,1
1164,0
245,1
1367,1
1182,1
1340,1
1175,1
1238,0
1212,1
702,1
1596,1
1483,0
553,0
1481,0
1214,1
227,0
936,1
107,0
841,0
161,0
1498,1
569,1
584,1
503,1
1159,0
888,1
1273,0
705,0
736,0
739,0
450,1
19,1
1203,0
415,0
665,0
282,0
359,1
186,0
921,1
22,0
752,0
933,0
342,1
1071,0
759,0
675,0
1272,0
1527,1
91,1
1181,0
1333,0
1056,1
1089,1
17,0
843,0
1541,1
548,1
1177,1
534,1
984,0
382,1
647,0
735,0
1060,1
996,1
313,0
468,1
1266,1
825,0
1040,0
1032,0
95,1
1474,0
1414,0
661,0
260,0
341,1
66,0
1219,1
621,0
1339,1
1281,1
1186,0
270,1
1264,1
794,1
1330,1
1530,1
0,0
630,1
209,1
1526,1
1308,0
1509,0
1007,1
229,0
669,1
108,1
1588,1
1492,0
1460,1
1259,1
83,0
169,0
1591,1
969,0
818,0
130,0
904,1
1384,0
897,1
1237,1
558,1
1083,1
655,0
1042,1
1131,0
1191,0
799,1
1383,0
1233,0
440,1
797,1
701,1
780,1
287,1
1401,0
392,0
535,1
431,0
985,1
769,0
1462,1
1480,0
506,1
1113,1
93,0
960,1
1575,1
201,0
798,1
33,1
516,1
731,0
1051,0
294,1
1209,1
946,1
684,0
1476,0
1377,1
1352,0
483,0
1055,1
1178,0
299,0
628,1
892,1
526,0
951,1
1140,1
1127,1
855,1
719,0
952,1
743,0
1239,0
97,0
583,1
607,1
1090,1
1393,0
370,0
1595,1
762,1
644,0
1166,0
559,1
20,1
819,0
991,0
1065,1
582,0
155,0
776,1
600,0
1580,1
58,0
1241,0
1487,0
1388,0
1080,1
631,0
1261,0
1312,0
604,1
1382,0
1160,1
917,1
517,0
616,0
24,1
945,1
1528,1
778,0
332,1
80,0
549,1
1144,0
1435,1
1021,1
817,1
343,1
1598,1
1536,1
477,1
184,1
211,1
1398,1
509,1
622,0
1314,1
1358,0
1450,1
680,0
248,1
999,1
329,0
163,0
348,1
339,1
1399,1
1116,1
204,1
442,1
102,1
557,0
262,0
1076,1
1256,0
1479,0
1102,1
1342,1
1230,1
532,0
1199,1
860,0
1149,1
1326,1
1511,0
1455,1
1405,1
274,0
225,1
1015,1
712,0
1142,1
54,1
1278,1
344,1
1194,1
784,0
876,0
980,1
1143,1
1223,1
912,1
1465,0
990,0
74,0
420,1
1033,1
653,1
810,0
1350,0
383,1
666,1
455,1
1221,1
858,1
1205,1
770,1
326,1
1,0
1513,1
688,0
43,0
32,0
592,0
1187,1
1429,0
64,0
1472,1
123,0
1027,0
1345,1
324,1
279,1
1453,0
76,0
1093,1
401,1
120,0
92,0
1284,0
1078,0
1317,1
972,1
884,1
686,0
1459,1
249,1
540,0
726,1
828,1
865,0
757,0
807,1
755,1
941,1
418,1
182,0
389,1
975,0
70,1
188,0
723,0
906,0
836,1
1300,1
371,1
259,1
926,1
700,1
124,0
1452,1
