,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol
386,0.54,0.26,2.0,0.08800000000000001,23.0,48.0,3.41,0.74,9.2
393,0.665,0.61,2.0,0.112,13.0,95.0,3.16,0.54,9.1
1466,0.48,0.32,2.1,0.062,31.0,54.0,3.3,0.65,10.0
914,0.305,0.39,1.2,0.059,7.0,11.0,3.29,0.52,11.5
1233,0.23,0.37,2.2,0.057,14.0,36.0,3.23,0.49,9.3
1400,0.69,0.21,2.1,0.08,33.0,141.0,3.25,0.51,9.9
520,0.25,0.49,2.7,0.08800000000000001,15.0,33.0,3.42,0.9,10.0
1422,0.54,0.0,2.1,0.079,39.0,55.0,3.39,0.84,11.4
196,0.58,0.3,2.4,0.07400000000000001,15.0,55.0,3.46,0.59,10.2
197,0.3,0.6,2.0,0.067,12.0,27.0,3.11,0.97,10.1
721,0.48,0.24,2.85,0.094,35.0,106.0,3.1,0.53,9.2
466,0.5,0.42,2.0,0.069,21.0,51.0,3.16,0.72,11.5
113,0.31,0.44,2.3,0.08,22.0,46.0,3.32,0.67,9.7
1438,0.59,0.0,1.7,0.052000000000000005,3.0,8.0,3.41,0.47,10.3
1305,0.61,0.26,1.9,0.073,24.0,88.0,3.3,0.53,9.8
589,0.29,0.49,2.6,0.059,5.0,13.0,3.05,0.74,10.5
1336,0.5,0.0,1.4,0.057,15.0,26.0,3.36,0.45,9.5
1549,0.36,0.3,1.8,0.07400000000000001,17.0,24.0,3.24,0.7,11.4
1360,0.54,0.31,2.3,0.112,11.0,38.0,3.24,0.56,10.9
1102,0.48,0.09,1.7,0.078,18.0,30.0,3.45,0.54,11.2
1373,0.75,0.27,3.8,0.11,34.0,89.0,3.24,0.45,9.3
367,0.575,0.61,2.6,0.076,11.0,24.0,3.16,0.69,9.0
620,0.54,0.24,3.4,0.076,16.0,112.0,3.27,0.61,9.4
255,0.57,0.23,3.2,0.073,17.0,119.0,3.26,0.57,9.3
658,0.52,0.07,1.4,0.07400000000000001,5.0,20.0,3.32,0.81,9.6
992,0.4,0.1,2.0,0.076,30.0,47.0,3.36,0.48,9.4
516,0.6,0.49,4.3,0.1,5.0,14.0,3.25,0.74,11.9
1315,0.63,0.27,2.0,0.083,17.0,91.0,3.26,0.58,9.8
257,0.695,0.0,2.1,0.075,12.0,56.0,3.49,0.67,9.2
767,0.6,0.32,2.7,0.103,13.0,98.0,3.45,0.62,9.5
464,0.315,0.54,2.1,0.084,5.0,15.0,2.98,0.7,9.2
831,0.61,0.08,2.1,0.071,16.0,24.0,3.56,0.77,11.1
1457,0.49,0.33,1.9,0.07400000000000001,27.0,85.0,3.41,0.58,9.0
