,classification
386,1
393,0
1466,1
914,1
1233,0
1400,0
520,1
1422,1
196,0
197,1
721,0
466,1
113,1
1438,0
1305,0
589,1
1336,0
1549,1
1360,0
1102,1
1373,0
367,0
620,0
255,0
658,1
992,1
516,1
1315,1
257,0
767,0
464,1
831,1
1457,0
1036,1
5,0
182,0
1133,1
1442,0
1436,0
1473,0
847,1
1259,1
1380,1
303,0
720,0
882,1
1047,0
67,0
1359,1
1545,1
306,0
961,0
896,1
154,0
1354,0
675,0
1517,1
426,1
688,0
1494,1
80,0
1572,0
1459,1
344,1
1551,0
970,1
112,0
1006,1
523,0
241,1
1486,0
1223,1
814,1
1504,1
1376,0
1550,0
215,0
517,0
1193,0
389,1
191,1
1210,1
1142,1
30,0
976,0
1104,1
56,0
152,0
531,0
1313,1
457,0
117,1
1341,1
963,1
482,0
1397,0
1513,1
805,1
433,0
1211,0
217,0
1449,1
224,0
884,1
295,0
1331,0
1208,1
1201,1
376,1
1429,0
953,1
1065,1
66,0
1314,1
798,1
606,1
1320,0
1072,1
1010,1
756,1
300,1
1156,1
280,1
580,0
656,0
1483,0
259,1
1254,0
1431,1
1522,0
1569,1
663,1
333,0
1452,1
1238,0
31,1
323,1
696,1
192,0
454,0
478,0
458,1
941,1
564,1
631,0
702,1
125,0
957,1
587,0
136,0
293,1
1479,0
596,1
701,1
1267,1
1302,1
223,1
287,1
1276,0
1401,0
1368,1
819,0
1181,0
1327,1
1209,1
989,1
691,0
307,1
1417,1
1139,1
346,1
1559,0
10,0
1304,0
1335,1
1230,1
789,0
1388,0
765,1
827,0
263,0
1202,1
628,1
965,1
273,0
924,0
1183,0
875,1
500,1
806,1
790,1
1292,1
1415,0
1122,1
242,1
1283,1
55,0
1458,0
137,0
542,0
973,0
607,1
535,1
1240,0
991,0
1056,1
71,0
1419,0
598,1
337,0
1045,1
514,1
1249,1
902,1
650,0
848,0
919,1
1519,0
445,1
704,0
209,1
1546,0
1189,0
1034,1
485,0
1158,1
334,1
1162,1
1184,0
1470,0
377,1
1462,1
1107,1
267,1
474,1
719,0
288,1
148,1
316,0
1177,1
424,0
221,0
612,1
619,0
768,1
960,1
868,1
541,1
769,0
599,1
816,1
308,1
139,0
761,0
860,0
1539,0
1145,1
348,1
1239,0
993,0
1573,1
1028,1
1129,1
1339,1
742,0
250,1
1548,0
1343,1
75,0
979,0
950,1
744,0
908,1
1008,1
315,1
1371,1
1352,0
185,0
74,0
183,0
1148,1
1408,1
1503,1
1151,1
1387,0
590,0
1040,0
225,1
40,0
1311,1
48,0
1528,1
435,0
732,0
1318,1
1464,0
462,0
1174,1
1511,0
481,1
1505,0
498,1
370,0
1323,1
1500,0
940,1
229,0
368,0
781,0
937,0
1198,1
851,0
582,0
1086,1
1406,1
285,0
238,1
787,1
980,1
461,0
1257,1
46,0
1530,1
1225,0
149,1
1032,0
983,1
1581,0
734,0
36,1
760,0
1585,1
1127,1
1160,1
1213,1
1555,1
320,1
783,0
1594,0
823,0
818,0
1286,1
1022,0
758,0
1130,1
629,0
444,1
85,0
310,1
572,0
870,1
1426,1
124,0
1109,1
786,0
800,0
565,0
397,1
416,1
269,1
1214,1
1237,1
727,0
284,0
1568,0
665,0
214,1
1348,0
726,1
693,0
556,1
1149,1
1265,1
1153,1
25,0
782,0
995,1
1206,1
600,0
1515,1
1562,0
72,0
145,0
89,0
661,0
1264,1
613,0
428,0
1468,1
314,0
927,0
1405,1
218,0
1135,1
1509,0
1248,1
1085,0
1063,1
311,1
2,0
933,0
543,1
97,0
571,1
822,0
1428,0
954,1
1014,1
434,1
1187,1
518,1
1390,1
290,1
842,1
1433,1
552,1
1384,0
1053,1
27,0
1019,0
1334,0
194,0
44,0
489,1
1518,0
852,0
962,0
438,1
1543,1
538,1
1159,0
766,0
737,1
401,1
313,0
985,1
916,0
1584,1
807,1
208,0
530,1
796,0
893,0
867,1
447,0
34,0
1285,0
54,1
165,0
1029,1
1454,1
1166,0
171,1
1191,0
363,0
1298,1
1004,0
174,0
880,0
162,1
1306,0
1421,0
1533,0
1596,1
1482,0
275,1
399,0
1307,0
1185,1
1310,0
1487,0
297,0
203,0
1512,1
546,1
1055,1
1355,0
1427,0
862,0
687,0
227,0
278,1
459,0
168,1
1197,1
1226,0
1414,0
1333,0
452,1
1382,0
1169,1
994,0
210,1
1005,1
685,0
1089,1
1217,1
330,1
51,1
1096,1
29,1
1059,1
583,1
632,1
1365,0
1516,0
173,1
878,1
653,1
670,0
922,1
135,0
550,1
549,1
854,1
984,0
497,0
1499,1
832,0
1495,1
510,0
1077,0
739,0
608,1
574,1
1035,1
1553,0
627,0
811,1
1271,1
128,1
1281,1
260,0
1066,1
955,0
928,0
1250,1
1215,1
865,0
1219,1
1167,1
858,1
1134,1
479,1
635,0
1054,1
178,0
1455,1
699,1
436,1
1423,0
161,0
931,0
1012,0
561,0
279,1
331,1
1489,1
1541,1
900,0
373,0
1529,1
676,1
383,1
558,1
907,1
717,0
1061,1
60,0
548,1
1552,1
753,0
1413,0
1027,0
746,1
76,0
712,0
843,0
247,0
743,0
108,1
618,0
707,0
1284,0
6,0
935,1
465,0
857,1
1272,0
427,1
441,1
321,0
422,0
885,0
505,1
1067,1
897,1
483,0
869,1
1242,1
532,0
251,1
96,0
18,0
1168,1
1172,1
1465,0
709,1
942,1
372,1
138,0
1338,0
563,1
304,0
184,1
114,0
1420,0
740,1
1282,1
1078,0
581,0
1275,1
496,1
49,0
1329,1
123,0
1469,0
1409,1
864,0
1003,1
77,1
1411,1
1136,1
235,1
757,0
834,0
1182,1
951,1
1143,1
838,1
698,0
1170,1
863,0
764,1
887,1
1113,1
425,1
11,0
1564,0
1100,1
47,0
948,1
236,1
597,1
341,1
594,0
282,0
121,1
616,0
1171,1
403,1
559,1
103,0
1580,1
1083,1
1068,1
1232,0
499,1
1407,1
936,1
1317,1
87,0
534,1
9,0
1262,0
1582,0
350,1
634,0
1440,1
1093,1
845,0
1547,0
674,1
801,0
305,1
504,1
1088,1
1583,0
1082,1
987,0
793,0
706,0
906,0
119,1
1207,0
508,1
1525,0
903,1
1507,1
1501,0
52,1
1258,1
641,0
1220,1
1064,1
855,1
944,1
385,1
1492,0
846,0
1125,1
604,1
871,0
193,0
1565,1
1586,1
1057,0
213,0
312,1
839,0
1385,0
943,1
22,0
408,1
1330,1
835,0
26,0
1123,1
1347,0
1161,1
1195,1
915,1
1416,0
1418,0
1364,1
1163,0
204,1
1084,1
486,0
731,0
417,0
1357,1
525,0
747,0
673,0
850,0
388,1
1345,1
419,0
160,0
1103,1
309,1
1322,0
633,0
62,1
920,0
170,0
654,0
84,1
526,0
1092,1
785,0
1277,1
1353,0
536,0
667,1
570,1
1301,1
405,1
1456,1
813,0
357,1
1344,0
949,1
643,0
116,1
741,0
1439,1
808,0
253,0
728,0
473,0
683,0
1393,0
1294,1
1236,1
1112,1
115,1
644,0
1447,0
453,1
909,1
1403,1
1578,1
1571,1
1485,0
883,0
355,1
158,0
380,1
336,1
603,1
1234,1
1147,1
1532,1
186,0
1245,0
155,0
966,1
1463,1
1279,1
1404,1
1340,1
1024,1
774,1
1443,0
1362,1
1402,1
143,0
662,1
677,0
1144,0
947,1
1178,0
528,1
736,0
448,1
382,1
1577,1
750,0
283,1
98,0
1412,1
179,0
1575,1
1222,1
212,1
792,1
362,0
1241,0
912,1
351,1
1591,1
828,1
68,0
1410,1
1274,1
335,1
130,0
1001,1
682,0
24,1
1450,1
840,1
804,1
939,0
1535,1
1526,1
352,0
986,1
891,0
1590,1
234,1
420,1
551,1
1179,1
1432,1
969,0
1140,1
446,0
1192,1
1561,0
738,0
78,0
778,0
1073,1
1588,1
1076,1
507,1
904,1
1531,0
470,0
711,0
358,1
1291,1
329,0
841,0
1597,0
972,1
648,1
1031,1
1356,0
642,0
1556,0
8,1
1451,1
646,0
569,1
1502,0
1204,1
252,0
12,0
964,1
456,0
578,0
1229,0
1303,0
506,1
222,0
678,0
1141,1
820,0
1050,0
788,1
493,1
1224,1
1116,1
1101,1
1309,0
533,1
1392,0
140,0
537,1
817,1
69,1
694,0
735,0
345,0
1332,1
714,0
812,0
1097,0
104,0
490,1
475,0
611,0
659,0
349,1
1497,1
398,1
529,0
32,0
1002,1
895,1
1062,1
301,1
784,0
1069,0
874,1
488,1
63,0
601,1
873,1
825,0
1441,1
73,0
669,1
1534,1
888,1
487,1
617,1
1293,0
722,0
102,1
61,0
879,0
338,1
1592,1
770,1
1252,0
1524,1
932,1
1115,1
1369,0
360,0
577,0
686,0
1205,1
175,0
232,1
1350,0
849,0
1453,0
1538,0
856,1
231,1
829,1
1023,1
1013,1
524,0
978,1
1540,1
640,0
521,0
681,1
622,0
298,0
1255,0
513,1
968,1
469,0
1280,1
560,0
1203,0
749,1
1094,1
898,1
703,0
216,0
292,1
981,0
4,0
53,0
166,0
605,1
1514,1
59,1
64,0
1194,1
1478,0
547,1
1425,1
472,1
187,0
302,0
545,0
1150,1
1247,0
93,0
1378,1
1011,1
1506,1
1437,0
645,1
664,0
952,1
901,1
1212,1
1030,1
384,0
70,1
1544,1
1033,1
1108,0
39,0
28,0
1563,0
657,1
859,1
1243,0
1026,1
364,1
503,1
655,0
1508,1
803,1
1375,0
593,0
1510,1
365,1
37,1
1444,1
1117,1
246,0
592,0
892,1
576,0
729,1
122,0
1445,1
371,1
759,0
21,0
1039,1
1015,1
369,1
332,1
361,1
929,1
1025,1
296,0
660,1
751,0
1351,1
1366,0
1593,1
1266,1
810,0
1498,1
394,0
418,1
844,1
745,1
1567,0
671,0
414,0
110,0
16,1
1394,0
579,1
111,0
752,0
177,1
471,1
748,1
430,1
621,0
,classification
1197,1
363,0
1447,0
441,1
1136,1
1128,0
1063,1
1550,0
806,1
190,0
804,1
1072,1
1320,0
998,1
1028,1
1586,1
304,0
1515,1
780,1
255,0
1036,1
79,0
1585,1
194,0
1528,1
166,0
309,1
1351,1
1584,1
720,0
622,0
872,0
1412,1
812,0
1594,0
1104,1
1332,1
1521,0
786,0
1511,0
1520,1
246,0
1556,0
991,0
1190,1
359,1
1510,1
1492,0
1553,0
1430,0
278,1
341,1
1266,1
976,0
1089,1
686,0
1454,1
731,0
1339,1
216,0
967,0
122,0
574,1
829,1
47,0
22,0
