,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol
1520,0.53,0.06,2.0,0.063,29.0,44.0,3.38,0.83,10.3
230,0.48,0.04,1.6,0.054000000000000006,19.0,106.0,3.54,0.62,12.2
1579,0.56,0.09,1.7,0.053,24.0,32.0,3.54,0.6,11.3
272,0.37,0.58,4.0,0.071,17.0,65.0,3.22,0.78,10.1
1395,0.685,0.1,1.6,0.092,3.0,12.0,3.31,0.65,9.55
638,0.915,0.12,2.2,0.14300000000000002,7.0,23.0,3.35,0.65,10.2
129,0.38,0.15,1.8,0.07200000000000001,6.0,19.0,3.42,0.57,9.4
881,0.715,0.0,2.1,0.068,30.0,35.0,3.48,0.65,11.4
190,0.5,0.35,2.9,0.077,21.0,127.0,3.23,0.62,9.4
519,0.365,0.49,2.5,0.08800000000000001,39.0,106.0,3.36,0.78,11.0
82,0.5,0.47,2.0,0.086,21.0,73.0,3.36,0.57,9.1
1155,0.6,0.25,2.2,0.118,9.0,38.0,3.15,0.53,9.8
1221,0.32,0.52,1.8,0.132,17.0,44.0,3.28,0.77,11.5
1046,0.78,0.0,1.7,0.076,33.0,45.0,3.31,0.62,10.7
172,0.42,0.17,2.0,0.073,6.0,18.0,3.29,0.61,9.2
625,0.69,0.0,5.6,0.124,21.0,58.0,3.46,0.72,10.2
342,0.39,0.47,1.8,0.118,6.0,14.0,3.3,0.75,9.8
239,1.0,0.09,2.3,0.065,7.0,37.0,3.32,0.55,9.0
1324,0.46,0.24,1.7,0.077,18.0,34.0,3.39,0.6,10.6
407,0.39,0.66,3.0,0.093,12.0,30.0,3.18,0.63,10.8
409,0.46,0.49,4.5,0.07,26.0,49.0,3.05,0.57,9.6
971,0.26,0.48,1.9,0.066,6.0,10.0,3.33,0.87,10.9
945,0.44,0.42,2.0,0.071,7.0,20.0,3.14,0.79,11.1
609,0.36,0.19,3.2,0.075,15.0,39.0,3.56,0.52,12.7
261,0.975,0.04,2.0,0.087,12.0,67.0,3.35,0.6,9.4
65,0.725,0.05,4.65,0.086,4.0,11.0,3.41,0.39,10.9
797,0.37,0.44,1.6,0.038,21.0,42.0,3.24,0.81,10.8
1391,0.64,0.22,2.4,0.094,5.0,33.0,3.37,0.58,11.0
1527,0.53,0.07,1.7,0.071,15.0,24.0,3.29,0.66,10.8
1152,0.6,0.25,2.2,0.118,9.0,38.0,3.15,0.53,9.8
755,0.91,0.07,1.9,0.058,22.0,47.0,3.51,0.43,10.7
562,0.54,0.49,2.9,0.094,41.0,110.0,3.08,0.61,9.2
322,0.62,0.05,2.3,0.079,6.0,18.0,3.29,0.63,9.3
1199,0.58,0.23,2.3,0.076,23.0,94.0,3.21,0.58,9.5
624,0.69,0.0,5.6,0.124,21.0,58.0,3.46,0.72,10.2
713,0.43,0.36,2.3,0.075,10.0,48.0,3.34,0.46,9.4
689,0.38,0.48,1.8,0.157,5.0,17.0,3.3,1.05,9.4
1138,0.41,0.15,3.7,0.104,29.0,94.0,3.14,0.58,9.1
167,0.55,0.03,1.6,0.07200000000000001,17.0,42.0,3.37,0.48,9.0
1099,0.52,0.38,1.5,0.096,5.0,18.0,3.2,0.52,9.4
630,0.54,0.26,2.5,0.097,7.0,31.0,3.27,0.6,9.3
1060,0.23,0.57,1.8,0.07400000000000001,3.0,8.0,3.14,0.7,9.9
1308,0.69,0.32,2.5,0.08800000000000001,22.0,91.0,3.29,0.62,10.1
264,0.56,0.49,2.4,0.064,5.0,27.0,3.08,0.87,10.9
387,0.66,0.15,1.9,0.079,17.0,42.0,3.31,0.54,9.6
412,0.735,0.16,1.9,0.1,15.0,77.0,3.27,0.64,9.3
