,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol
520,0.25,0.49,2.7,0.08800000000000001,15.0,33.0,3.42,0.9,10.0
1344,0.42,0.48,2.6,0.077,8.0,20.0,3.09,0.53,11.0
932,0.4,0.29,1.9,0.078,29.0,66.0,3.45,0.59,9.5
1294,0.635,0.1,2.1,0.073,25.0,60.0,3.29,0.75,10.9
1331,0.87,0.26,3.8,0.107,31.0,67.0,3.26,0.46,9.2
849,0.63,0.21,1.6,0.08,12.0,32.0,3.58,0.66,9.8
279,0.4,0.32,5.6,0.087,10.0,47.0,3.38,0.77,10.5
679,0.26,0.45,3.3,0.06,20.0,49.0,3.13,0.54,9.6
1550,0.68,0.0,2.3,0.087,17.0,26.0,3.45,0.53,9.5
1225,0.46,0.23,2.6,0.091,18.0,77.0,3.15,0.51,9.4
903,0.59,0.06,6.0,0.06,11.0,18.0,3.41,0.59,10.8
1412,0.24,0.34,5.1,0.062,8.0,22.0,3.22,0.94,10.9
1384,0.755,0.15,1.8,0.107,20.0,84.0,3.19,0.5,9.5
1084,0.38,0.3,1.8,0.073,31.0,70.0,3.42,0.59,9.5
1537,0.58,0.08,1.9,0.059,20.0,31.0,3.5,0.64,10.2
1088,0.41,0.54,1.5,0.095,22.0,41.0,3.02,0.76,9.9
1266,0.57,0.05,2.3,0.081,16.0,36.0,3.38,0.6,10.3
697,0.65,0.02,2.1,0.066,8.0,25.0,3.47,0.67,9.5
270,0.545,0.06,4.0,0.087,27.0,61.0,3.36,0.67,10.7
452,0.56,0.03,1.7,0.084,18.0,35.0,3.44,0.63,10.0
380,0.26,0.42,2.0,0.08,11.0,27.0,3.21,0.8,9.4
716,0.43,0.36,2.3,0.075,10.0,48.0,3.34,0.46,9.4
136,0.715,0.15,1.8,0.08900000000000001,10.0,52.0,3.23,0.77,9.5
148,0.49,0.1,2.3,0.07400000000000001,12.0,30.0,3.42,0.58,10.2
978,0.4,0.32,3.6,0.061,9.0,29.0,3.28,0.49,11.3
1062,0.38,0.44,1.9,0.098,6.0,15.0,3.3,0.64,11.4
345,0.685,0.0,1.9,0.067,40.0,63.0,3.6,0.81,9.9
635,0.84,0.0,1.4,0.065,24.0,33.0,3.27,0.55,9.7
1190,0.4,0.57,4.6,0.08,6.0,20.0,3.28,0.57,12.5
1109,0.47,0.43,2.1,0.171,27.0,66.0,3.17,0.76,10.8
881,0.715,0.0,2.1,0.068,30.0,35.0,3.48,0.65,11.4
648,0.48,0.3,2.8,0.066,10.0,28.0,3.33,0.67,11.2
1201,0.34,0.36,1.9,0.065,5.0,10.0,3.27,0.54,11.2
1345,0.44,0.24,2.3,0.063,10.0,28.0,3.25,0.53,10.2
166,0.64,0.1,2.1,0.085,18.0,101.0,3.34,0.52,10.2
528,0.42,0.49,2.6,0.084,32.0,55.0,3.34,0.75,8.7
538,0.35,0.49,5.8,0.066,5.0,35.0,3.2,0.66,12.0
1095,0.4,0.47,2.5,0.087,6.0,20.0,3.15,0.5,10.5
465,0.29,0.4,2.9,0.098,10.0,26.0,3.48,0.91,9.7
53,0.38,0.36,3.0,0.081,30.0,119.0,3.2,0.56,9.4
974,0.33,0.41,5.9,0.073,7.0,13.0,3.3,0.62,12.1
1514,0.84,0.21,4.1,0.07400000000000001,16.0,65.0,3.53,0.72,9.23333333333333
698,0.615,0.28,3.2,0.087,18.0,72.0,3.31,0.53,9.7
24,0.4,0.14,2.4,0.085,21.0,40.0,3.43,0.63,9.7
1533,0.39,0.3,1.9,0.07400000000000001,32.0,84.0,3.39,0.61,9.0
1378,0.45,0.15,2.0,0.078,10.0,28.0,3.29,0.51,9.9
72,0.69,0.22,1.9,0.084,18.0,94.0,3.31,0.48,9.5
1007,0.3,0.34,2.0,0.064,12.0,25.0,3.26,0.84,11.7
657,0.5,0.59,1.4,0.073,23.0,42.0,2.92,0.68,10.5
1388,0.64,0.31,6.1,0.083,7.0,49.0,3.35,0.68,10.3
655,0.55,0.17,2.9,0.087,20.0,53.0,3.14,0.61,9.4
946,0.44,0.58,4.1,0.092,11.0,24.0,3.29,0.99,12.0
1239,0.67,0.0,4.3,0.057,11.0,20.0,3.45,0.56,11.8
826,0.27,0.34,2.3,0.05,4.0,8.0,3.4,0.64,11.0
985,0.58,0.0,2.0,0.064,7.0,11.0,3.45,0.58,11.3
864,0.62,0.06,2.7,0.077,15.0,85.0,3.51,0.54,9.5
1008,0.35,0.4,3.6,0.11,12.0,24.0,3.23,0.7,12.0
383,0.26,0.42,2.0,0.08,11.0,27.0,3.21,0.8,9.4
481,0.3,0.56,2.8,0.08,6.0,17.0,3.15,0.92,11.7
790,0.37,0.43,2.6,0.08199999999999999,18.0,82.0,3.33,0.68,9.7
