,classification
592,0
1427,0
1112,1
414,0
318,1
870,1
173,1
1596,1
939,0
1445,1
1395,1
936,1
250,1
1368,1
782,0
1283,1
1406,1
1075,1
39,0
172,1
202,0
1594,0
1123,1
1037,0
351,1
1272,0
1148,1
238,1
1438,0
1103,1
674,1
852,0
1174,1
602,0
631,0
1222,1
664,0
671,0
1516,0
858,1
670,0
619,0
650,0
1529,1
1497,1
1540,1
810,0
1149,1
994,0
833,0
1376,0
1347,0
123,0
574,1
1400,0
56,0
986,1
1135,1
857,1
200,1
1089,1
273,0
1009,0
907,1
902,1
761,0
28,0
1229,0
288,1
714,0
533,1
948,1
1173,1
766,0
1202,1
696,1
1128,0
678,0
706,0
1449,1
1504,1
29,1
1060,1
10,0
575,1
1307,0
976,0
586,1
423,1
969,0
394,0
408,1
877,1
915,1
87,0
1325,1
112,0
1543,1
1290,0
1569,1
607,1
306,0
529,0
947,1
214,1
897,1
693,0
1308,0
742,0
1333,0
1522,0
1509,0
140,0
867,1
661,0
426,1
1005,1
1359,1
717,0
1332,1
196,0
262,0
1457,0
943,1
1163,0
25,0
203,0
505,1
1337,0
1031,1
1184,0
818,0
1565,1
898,1
885,0
1330,1
894,1
271,1
284,0
1010,1
1069,0
847,1
1064,1
924,0
527,1
878,1
729,1
1422,1
829,1
197,1
1525,0
89,0
105,0
11,0
1067,1
1207,0
551,1
1418,0
496,1
1536,1
436,1
734,0
656,0
490,1
1373,0
241,1
531,0
632,1
906,0
603,1
1452,1
968,1
1065,1
1087,1
358,1
973,0
750,0
1057,0
246,0
249,1
1145,1
856,1
844,1
1032,0
1573,1
1097,0
779,0
988,0
975,0
403,1
1166,0
851,0
979,0
1538,0
623,1
1150,1
1271,1
1339,1
793,0
1045,1
824,0
1298,1
299,0
1349,0
341,1
335,1
346,1
116,1
332,1
775,0
1480,0
1579,0
1587,1
342,1
289,0
336,1
1134,1
817,1
434,1
1547,0
719,0
277,1
1403,1
1183,0
875,1
1143,1
755,1
835,0
511,1
1243,0
1002,1
1264,1
1282,1
122,0
488,1
606,1
486,0
1458,0
913,1
862,0
1219,1
233,0
1191,0
1061,1
466,1
741,0
525,0
401,1
74,0
725,0
272,0
828,1
1508,1
85,0
316,0
647,0
1341,1
321,0
1162,1
992,1
1256,0
1362,1
785,0
179,0
348,1
874,1
1217,1
597,1
765,1
587,0
514,1
236,1
149,1
1551,0
98,0
1127,1
1055,1
,classification
1348,0
119,1
1413,0
1565,1
527,1
1583,0
1214,1
407,1
731,0
622,0
430,1
1004,0
478,0
237,1
506,1
47,0
517,0
1535,1
319,1
1553,0
167,0
691,0
993,0
829,1
1178,0
490,1
607,1
1324,1
1382,0
345,0
1503,1
1192,1
1158,1
520,1
49,0
438,1
222,0
55,0
531,0
54,1
348,1
852,0
857,1
1384,0
813,0
512,1
525,0
